Num,1. Alarm Cause 1 (   ),2. Automatic Locking (   ),"3. Battery Voltage, REM (V)",4. Bonnet Sensor Switch (   ),5. Bootlid/Tailgate Switch (   ),6. Calibration Result Position Sensor (   ),7. Distance Backwards (   ),8. Distance Forwards (   ),9. Driver Door Lock Switch (   ),10. Driver Door Switch (   ),"11. Fog Light, Trailer (   )",12. Fog Lights (   ),13. Glass Break Sensor (   ),14. Left Rear Door Lock Switch (   ),15. Left Rear Door Power Child Lock Switch (   ),16. Left Rear Door Switch (   ),17. License Plate Light (   ),18. Parking Assistance Front (   ),19. Parking Assistance Rear (   ),20. Parking Assistance Sensor 1 (   ),21. Parking Assistance Sensor 2 (   ),22. Parking Assistance Sensor 3 (   ),23. Parking Assistance Sensor 4 (   ),24. Parking Assistance Sensor 5 (   ),25. Parking Assistance Sensor 6 (   ),26. Parking Assistance Sensor 7 (   ),27. Parking Assistance Sensor 8 (   ),28. Passenger Door Lock Switch (   ),29. Passenger Door Switch (   ),30. Relay Electrically Heated Diesel Filter (   ),31. Relay Extended X Supply (1) (   ),32. Relay Extended X Supply (2) (   ),33. Relay Extended X Supply (3) (   ),34. Relay Extended X Supply (4) (   ),35. Relay Rear Window Defroster (   ),"36. Relay, Tank Valve (   )",37. Reversing Light (   ),38. Right Rear Door Lock Switch (   ),39. Right Rear Door Power Child Lock Switch (   ),40. Right Rear Door Switch (   ),41. Signal From Position Sensor Xenon Lamp (V),42. Signal From Pressure Sensor (CNG) (V),43. Signal From Temperature Sensor (CNG) (V),44. Status Position Sensor Xenon Lamp (   ),45. Stop Light (   ),"46. Tail Gate, Lock Switch (   )",47. Unlocking Cause (   ),"48. Voltage Of Battery, CEM (V)"
12,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,0,0,0,0,0,0,0,0,0,0,0,0,0
37,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,0,0,0,0,0,0,0,0,0,0,0,0
38,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,0,0,0,0,0,0,0,0,0,0,0
39,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,0,0,0,0,0,0,0,0,0,0
40,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,0,0,0,0,0,0,0,0,0
41,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,0,0,0,0,0,0
42,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,0,0,0,0,0,0
43,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,0,0,0,0,0,0
44,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,0,0,0,0,0
45,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,0,0,0,0
46,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,0,0,0
47,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,0,0
48,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,0
49,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
50,No Alarm Caust Saved,Not Activated,14.48,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
51,No Alarm Caust Saved,Not Activated,14.45,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
52,No Alarm Caust Saved,Not Activated,14.42,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
53,No Alarm Caust Saved,Not Activated,14.42,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
54,No Alarm Caust Saved,Not Activated,14.50,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.25
55,No Alarm Caust Saved,Not Activated,14.50,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
56,No Alarm Caust Saved,Not Activated,13.70,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Locked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Locked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.25
57,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Locked,Closed,Not Activated,Not Activated,OK,Locked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Locked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Locked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
58,No Alarm Caust Saved,Not Activated,14.50,Closed,Closed,OK,1,1,Locked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Locked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
59,No Alarm Caust Saved,Not Activated,14.50,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
60,No Alarm Caust Saved,Not Activated,14.09,Closed,Closed,OK,1,1,Locked,Closed,Not Activated,Not Activated,OK,Locked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Locked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Locked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
61,No Alarm Caust Saved,Not Activated,14.50,Closed,Closed,OK,1,1,Locked,Closed,Not Activated,Not Activated,OK,Locked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Locked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Locked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
62,No Alarm Caust Saved,Not Activated,14.48,Closed,Closed,OK,1,1,Locked,Closed,Not Activated,Not Activated,OK,Locked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Locked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Locked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
