"A/C Compressor Active","A/C Pressure[psi]","Accelerator Pedal Sensor, Analog[V]","Accelerator Pedal Sensor, PWM[%]","Adaptation Throttle","Air Mass, Correction Factor","Ambient Air Pressure[psi]","Ambient Air Temperature[degree F]","Battery Voltage[V]","Boost Pressure[psi]","Brake Light Switch","Brake Pedal Position (From BCM)[%]","Camshaft Shifting Angle Deviation (Exhaust)[deg]","Camshaft Shifting Angle Deviation (Inlet)[deg]","Camshaft Shifting Angle, Exhaust[deg]","Camshaft Shifting Angle, Inlet[deg]","Condition Automatic Transmission","Cruise -","Cruise +","Cruise Control Resume","Engine Coolant Level Switch","Engine Coolant Temperature[degree C]","Engine Cooling Fan[%]","Evap-Flow[kg/h]","Exhaust Camshaft Adaptation[deg]","Exhaust Camshaft Reset Valve[%]","Fuel Pressure[kPa]","Fuel Pressure, Nominal Value[kPa]","Fuel Pump Relay","Fuel Pump, Duty Cycle[%]","Fuel Temperature[degree C]","Idlespeed, Deviation From Nominal[rpm]","Ignition Angle[deg BTDC]","Injection Time, Bank 1[ms]","Inlet Camshaft Adaptation (6-Cyl)[deg]","Inlet Camshaft Reset Valve[%]","Intake Air Temperature[degree C]","Lambda Control, Bank 1","Leakage Air Through Throttle Blade","Long-Term Fuel Trim Lower Part Load, Bank 1","Long-Term Fuel Trim Upper Part Load, Bank 1","Mass Air Flow[kg/h]","Misfire Counter","Misfire Counter 1 (5 Cyl)","Misfire Counter 2 (5 Cyl)","Misfire Counter 3 (5 Cyl)","Misfire Counter 4 (5 Cyl)","Misfire Counter 5 (5 Cyl)","Nominal Camshaft Shifting Angle, Exhaust[deg]","Nominal Camshaft Shifting Angle, Inlet[deg]","Nominal Throttle Angle[%]","Oil Level[%]","Oil Pressure Switch","Oxygen Front Sensor, Bank 1","Oxygen Rear Sensor, Bank 1[V]","Purge Valve, Dutycycle[%]","Short-Term Fuel Trim Idle, Bank 1[%]","Short-Term Fuel Trim, Bank 1","Throttle Angle[%]","Throttle Position Sensor, Potentiometer 1[V]","Throttle Position Sensor, Potentiometer 1[%]","Throttle Position Sensor, Potentiometer 2[V]","Throttle Position Sensor, Potentiometer 2[%]","Turbo Control Valve Dutycycle[%]","Vehicle Speed[km/h]"
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","79.68","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","79.68","Off","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","79.68","Off","0.97","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","79.68","Off","0.97","0.83","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","79.68","Off","0.97","0.83","0","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","79.68","Off","0.97","0.83","0","2.76","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","79.68","Off","0.97","0.83","0","2.76","1.00","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","79.68","Off","0.97","0.83","0","2.76","1.00","4.71","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","79.68","Off","0.97","0.83","0","2.76","1.00","4.71","0.78","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","79.68","Off","0.97","0.83","0","2.76","1.00","4.71","0.78","5.10","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","79.68","Off","0.97","0.83","0","2.76","1.00","4.71","0.78","5.10","4.19","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","79.68","Off","0.97","0.83","0","2.76","1.00","4.71","0.78","5.10","4.19","7.06","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","79.68","Off","0.97","0.83","0","2.76","1.00","4.71","0.78","5.10","4.19","7.06","0",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","43.92","65.601","62.625","On","48.47","143.6","-280","31.50","4.46","-1.74","7.84","110.3","O/L","0","1.04","1.00","19.40","0","0","0","0","0","0","5.50","0","4.78","79.68","Off","0.97","0.83","0","2.76","1.00","4.71","0.78","5.10","4.19","7.06","0","4.35"
"On","169.834","0.73","14.49","OK","0.94","9.75","69.8","14.15","9.9","Off","0","0.27","-0.25","3.09","0.05","On","Off","Off","Off","Off","192.65","22.75","0","1.20","44.71","59.926","60","On","45.81","143.6","-700","36.00","3.20","-1.74","7.84","113","C/L","0","1.04","1.00","25.50","0","0","0","0","0","0","6","0","6.87","79.68","Off","1.02","0.1","0","2.76","1.01","4.71","0.75","4.31","4.27","3.92","0","11.185"
"On","177.927","0.41","8.01","OK","0.93","9.75","71.15","14.15","9.8","On","11.76","-0.23","0.14","7.72","0.09","On","Off","Off","Off","Off","191.3","22.75","0","1.20","42.35","60.188","60","On","45.16","143.6","-200","7.50","2.16","-1.74","7.84","115.7","C/L","0.20","1.04","1.00","8.90","0","0","0","0","0","0","5","1","25.92","79.68","Off","0.98","0.73","0","2.76","0.99","14.51","1.12","13.73","3.9","13.73","17.94","15.534"
"Off","139.49","0.97","19.52","OK","0.93","9.75","71.15","14.08","10.7","Off","0","-0.36","-0.05","0.25","0.02","On","Off","Off","Off","Off","189.95","22.75","0","1.20","43.53","60.144","60","On","46.22","143.6","-980","37.50","3.70","-1.74","7.84","115.7","C/L","0.20","1.04","1.00","57.40","0","0","0","0","0","0","1","0","9.83","79.68","Off","1.01","0.67","9.37","2.76","1.03","5.10","0.72","3.53","4.31","2.35","0","23.612"
"Off","111.166","0.66","13.18","OK","0.93","9.75","71.15","14.29","9.8","Off","0","-0.43","0.12","8.09","-0.17","On","Off","Off","Off","Off","189.95","22.75","0.04","1.20","46.27","60.536","60","On","44.82","143.6","-90","0.75","1.41","-1.74","7.84","110.3","C/L","0.20","1.04","1.00","9.30","0","0","0","0","0","0","9","0","1.57","79.68","Off","1.04","0.7","3.12","2.76","1.00","1.18","0.64","1.18","4.37","1.18","0","15.534"
"Off","107.121","0.41","8.03","OK","0.93","9.75","69.8","14.08","9.7","Off","0","6.29","-0.13","1.35","0.13","On","Off","Off","Off","Off","189.95","22.75","0.03","1.20","7.84","58.708","60","On","47.91","143.6","-1280","33.75","6.98","-1.74","44.71","100.85","C/L","0.20","1.04","1.00","142.60","0","0","0","0","0","0","0","12.50","18.69","79.68","Off","1.01","0.68","19.92","2.76","1.00","17.65","1.25","18.04","3.74","18.04","0","28.583"
"Off","103.074","1.04","19.80","OK","0.94","9.75","69.8","14.29","11.1","Off","0","-0.22","-0.13","-0.11","1.69","On","Off","Off","Off","Off","189.95","22.75","1.09","1.20","7.84","60.318","60","On","47.24","143.6","-980","32.25","4.95","-1.74","43.92","92.75","C/L","0.20","1.04","1.00","55.90","0","0","0","0","0","0","0.50","0","8.24","79.68","Off","1.02","0.66","68.74","2.76","1.02","6.27","0.82","6.27","4.19","5.88","0","34.797"
"Off","119.259","0.71","14.37","OK","0.94","9.75","68.45","14.29","9.8","Off","0","-0.11","0.08","1.22","0.06","On","Off","Off","Off","Off","191.3","22.75","3.12","1.20","43.92","60.231","60","On","45.45","143.6","-840","37.50","3.25","-1.74","7.84","92.75","C/L","0.20","1.04","1.00","45.30","0","0","0","0","0","0","0.50","0","9.18","79.68","Off","0.98","0.13","99.60","2.76","1.10","9.02","0.92","9.02","4.08","9.02","0","36.04"
