severity,category,issue,details,recommendation,source
CRITICAL,Engine Performance,Misfires Causing RPM Instability,Strong correlation (0.69) between RPM fluctuation and misfires,"Address misfire issues - check spark plugs, coils, and fuel injectors",TOYOTA_989347712041_20251103171959_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 58 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251028105656_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 36503 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251028105656_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 18251 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251028105656_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 3 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260107134236_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 28 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260107134236_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 53 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251223215318_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±155 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251223215318_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 894 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251223215318_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 56 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251109132018_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 3951 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251109132018_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 1975 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251109132018_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 50 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251224000438_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±117 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251224000438_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 443 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251224000438_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 42 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251024151339good_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 3724 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251024151339good_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 1862 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251024151339good_clean.csv
CRITICAL,Engine Performance,Misfires Causing RPM Instability,Strong correlation (0.66) between RPM fluctuation and misfires,"Address misfire issues - check spark plugs, coils, and fuel injectors",TOYOTA_989347712041_20251024151339good_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 43 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±99 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 2025 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 57 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103171858_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 1151 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251103171858_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 575 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251103171858_clean.csv
CRITICAL,Engine Performance,Misfires Causing RPM Instability,Strong correlation (0.69) between RPM fluctuation and misfires,"Address misfire issues - check spark plugs, coils, and fuel injectors",TOYOTA_989347712041_20251103171858_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 33 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251224000329_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±97 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251224000329_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 402 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251224000329_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 59 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251220141620_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±138 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251220141620_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 1073 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251220141620_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 62 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251201204111_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±165 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251201204111_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 917 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251201204111_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 57 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103170939_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 1531 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251103170939_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 765 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251103170939_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 57 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251018170040_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 25556 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251018170040_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 12778 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251018170040_clean.csv
