Row,Alarm Cause 1,Automatic Locking,"Battery Voltage, REM [V]",Bonnet Sensor Switch,Bootlid/Tailgate Switch,Calibration Result Position Sensor,Distance Backwards,Distance Forwards,Driver Door Lock Switch,Driver Door Switch,"Fog Light, Trailer",Fog Lights,Glass Break Sensor,Left Rear Door Lock Switch,Left Rear Door Power Child Lock Switch,Left Rear Door Switch,License Plate Light,Parking Assistance Front,Parking Assistance Rear,Parking Assistance Sensor 1,Parking Assistance Sensor 2,Parking Assistance Sensor 3,Parking Assistance Sensor 4,Parking Assistance Sensor 5,Parking Assistance Sensor 6,Parking Assistance Sensor 7,Parking Assistance Sensor 8,Passenger Door Lock Switch,Passenger Door Switch,Relay Electrically Heated Diesel Filter,Relay Extended X Supply (1),Relay Extended X Supply (2),Relay Extended X Supply (3),Relay Extended X Supply (4),Relay Rear Window Defroster,"Relay, Tank Valve",Reversing Light,Right Rear Door Lock Switch,Right Rear Door Power Child Lock Switch,Right Rear Door Switch,Signal From Position Sensor Xenon Lamp [V],Signal From Pressure Sensor (CNG) [V],Signal From Temperature Sensor (CNG) [V],Status Position Sensor Xenon Lamp,Stop Light,"Tail Gate, Lock Switch",Unlocking Cause,"Voltage Of Battery, CEM [V]"
13,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,0,0,0,0,0,0,0,0,0,0,0,0,0
37,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,0,0,0,0,0,0,0,0,0,0,0,0
38,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,0,0,0,0,0,0,0,0,0,0,0
39,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,0,0,0,0,0,0,0,0,0,0
40,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,0,0,0,0,0,0,0,0,0
41,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,0,0,0,0,0,0
42,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,0,0,0,0,0,0
43,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,0,0,0,0,0,0
44,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,0,0,0,0,0
45,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,0,0,0,0
46,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,0,0,0
47,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,0,0
48,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,0
49,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
50,No Alarm Caust Saved,Not Activated,14.48,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
51,No Alarm Caust Saved,Not Activated,14.45,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
52,No Alarm Caust Saved,Not Activated,14.42,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
53,No Alarm Caust Saved,Not Activated,14.42,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
54,No Alarm Caust Saved,Not Activated,14.50,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.25
55,No Alarm Caust Saved,Not Activated,14.50,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
56,No Alarm Caust Saved,Not Activated,13.70,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Locked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Locked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.25
57,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Locked,Closed,Not Activated,Not Activated,OK,Locked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Locked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Locked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
58,No Alarm Caust Saved,Not Activated,14.50,Closed,Closed,OK,1,1,Locked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Locked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
59,No Alarm Caust Saved,Not Activated,14.50,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Unlocked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Unlocked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
60,No Alarm Caust Saved,Not Activated,14.09,Closed,Closed,OK,1,1,Locked,Closed,Not Activated,Not Activated,OK,Locked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Locked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Locked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
61,No Alarm Caust Saved,Not Activated,14.50,Closed,Closed,OK,1,1,Locked,Closed,Not Activated,Not Activated,OK,Locked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Locked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Locked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
62,No Alarm Caust Saved,Not Activated,14.48,Closed,Closed,OK,1,1,Locked,Closed,Not Activated,Not Activated,OK,Locked,Unlocked,Closed,Activated,Off,Off,OK,OK,OK,OK,OK,OK,OK,OK,Locked,Closed,Not Activated,Activated,Not Activated,Activated,Activated,Not Activated,Activated,Not Activated,Locked,Unlocked,Closed,0,0,5,Not Calibrate,Not Activated,Locked,Unlocked By Central Lock Switch,14.38
