Row,Accelerator Pedal Position (APP) Indicated Angle [%],Air Conditioning (AC) Relay Command,Air Flow Calculated [g/s],Calculated Three Way Catalyst (TWC) Temperature Bank 1 [degree C],Calculated Three Way Catalyst (TWC) Temperature Bank 2 [degree C],Camshaft Position (CMP) Sensor [rpm],Cycles Of Misfire Data,Cylinder 1 Injector Circuit Open Test Status,Cylinder 1 Injector Circuit Short Gnd Test Status,Cylinder 1 Injector Circuit Short Volts Test Status,Cylinder 1 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 1 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 1 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder 2 Injector Circuit Open Test Status,Cylinder 2 Injector Circuit Short Gnd Test Status,Cylinder 2 Injector Circuit Short Volts Test Status,Cylinder 2 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 2 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 2 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder 3 Injector Circuit Open Test Status,Cylinder 3 Injector Circuit Short Gnd Test Status,Cylinder 3 Injector Circuit Short Volts Test Status,Cylinder 3 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 3 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 3 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder 4 Injector Circuit Open Test Status,Cylinder 4 Injector Circuit Short Gnd Test Status,Cylinder 4 Injector Circuit Short Volts Test Status,Cylinder 4 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 4 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 4 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder 5 Injector Circuit Open Test Status,Cylinder 5 Injector Circuit Short Gnd Test Status,Cylinder 5 Injector Circuit Short Volts Test Status,Cylinder 5 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 5 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 5 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder 6 Injector Circuit Open Test Status,Cylinder 6 Injector Circuit Short Gnd Test Status,Cylinder 6 Injector Circuit Short Volts Test Status,Cylinder 6 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 6 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 6 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder 7 Injector Circuit Open Test Status,Cylinder 7 Injector Circuit Short Gnd Test Status,Cylinder 7 Injector Circuit Short Volts Test Status,Cylinder 7 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 7 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 7 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder 8 Injector Circuit Open Test Status,Cylinder 8 Injector Circuit Short Gnd Test Status,Cylinder 8 Injector Circuit Short Volts Test Status,Cylinder 8 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 8 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 8 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder Deactivation Performance Test,Engine Coolant Temperature (ECT) Sensor [degree C],Engine Load [%],Engine Oil Pressure Sensor [kPa],Engine Run Time,Engine Speed [rpm],Fuel Tank Level Remaining [%],Ignition 1 Signal [V],Injector 1 Disabled Due To Misfire,Injector 2 Disabled Due To Misfire,Injector 3 Disabled Due To Misfire,Injector 4 Disabled Due To Misfire,Injector 5 Disabled Due To Misfire,Injector 6 Disabled Due To Misfire,Injector 7 Disabled Due To Misfire,Injector 8 Disabled Due To Misfire,Injector PWM Bank 1 [ms],Injector PWM Bank 2 [ms],Intake Air Temperature (IAT) Sensor [degree C],Malfunction Indicator Lamp (MIL) Requested By DTC,Manifold Absolute Pressure (MAP) Sensor [kPa],Mass Air Flow (MAF) Sensor [g/s],Misfire Current Cylinder 1,Misfire Current Cylinder 2,Misfire Current Cylinder 3,Misfire Current Cylinder 4,Misfire Current Cylinder 5,Misfire Current Cylinder 6,Misfire Current Cylinder 7,Misfire Current Cylinder 8,Misfire History Cylinder 1,Misfire History Cylinder 2,Misfire History Cylinder 3,Misfire History Cylinder 4,Misfire History Cylinder 5,Misfire History Cylinder 6,Misfire History Cylinder 7,Misfire History Cylinder 8,Power Enrichment,Spark [deg],Throttle Position (TP) Indicated Angle [%],Total Misfire [counts],Vehicle Speed Sensor [km/h]
11,0.500,Off,6.039,295,295,539,19,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,21.961,328,00:03:31,556,98.931,14.318,No,No,No,No,No,No,No,No,2.524,2.389,13,No,38,6.820,0,0,0,0,0,0,14,0,0,6,0,0,0,1,455,0,Inactive,32.500,18.547,102,0
12,0.500,Off,6.781,295,295,615,21,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,21.176,328,00:03:31,618,98.931,14.443,No,No,No,No,No,No,No,No,2.344,2.254,13,No,37,6.660,0,0,0,0,0,0,16,0,0,6,0,0,0,1,455,0,Inactive,24,18.547,102,0
13,0.500,Off,5.961,295,295,586,23,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,20.392,332,00:03:31,586.750,98.931,14.368,No,No,No,No,No,No,No,No,2.163,2.058,13,No,35,6.260,0,0,0,0,0,0,18,0,0,6,0,0,0,1,455,0,Inactive,28,18.117,102,0
14,0.500,Off,5.656,295,295,517,24,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,21.176,320,00:03:32,520,98.931,14.318,No,No,No,No,No,No,No,No,2.284,2.209,13,No,36,6.240,0,0,0,0,0,0,24,0,0,6,0,0,0,1,455,0,Inactive,31.500,18.391,102,0
15,0.500,Off,6.852,295,295,526,26,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,25.098,324,00:03:32,537.250,98.931,14.343,No,No,No,No,No,No,No,No,2.885,2.719,13,No,40,6.400,0,0,0,0,0,0,28,0,0,6,0,0,0,1,455,0,Inactive,33.500,18.117,102,0
16,0.500,Off,7.070,295,295,641,28,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,21.176,332,00:03:33,639.500,98.931,14.268,No,No,No,No,No,No,No,No,2.344,2.239,13,No,37,6.800,0,0,0,0,0,0,28,0,0,6,0,0,0,1,455,0,Inactive,18.500,18.117,102,0
17,0.500,Off,6.086,295,295,600,30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,20.784,336,00:03:33,571.500,98.931,14.318,No,No,No,No,No,No,No,No,2.103,1.983,13,No,35,6.420,0,0,0,0,0,0,32,0,0,6,0,0,0,1,455,0,Inactive,23.500,18.254,102,0
18,0.500,Off,5.656,295,295,551,32,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,20.784,328,00:03:34,547.750,98.931,14.293,No,No,No,No,No,No,No,No,2.269,2.163,13,No,35,6.440,0,0,0,0,0,0,34,0,0,6,0,0,0,1,455,0,Inactive,29,18.117,102,0
19,0.500,Off,5.977,295,295,558,35,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,20.784,328,00:03:34,565.750,98.931,14.244,No,No,No,No,No,No,No,No,2.314,2.194,13,No,36,6.530,0,0,0,0,0,0,38,0,0,6,0,0,0,1,455,0,Inactive,31.500,18.254,102,0
20,0.500,Off,5.930,295,295,563,37,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,20.784,328,00:03:34,565.500,98.931,14.293,No,No,No,No,No,No,No,No,2.329,2.209,13,No,36,6.530,0,0,0,0,0,0,38,0,0,6,0,0,0,1,455,0,Inactive,31.500,18.254,102,0
21,0.500,Off,5.664,295,295,539,39,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,20,324,00:03:35,552,98.931,14.293,No,No,No,No,No,No,No,No,2.224,2.103,13,No,35,6.190,0,0,0,0,0,0,42,0,0,6,0,0,0,1,455,0,Inactive,31,17.980,102,0
22,0.500,Off,5.906,295,295,520,40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,20.392,320,00:03:35,531.500,98.931,14.218,No,No,No,No,No,No,No,No,2.329,2.224,13,No,36,6.540,0,0,0,0,0,0,46,0,0,6,0,0,0,1,455,0,Inactive,31.500,18.391,102,0
23,0.500,Off,6.141,295,295,561,43,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,20.784,320,00:03:36,565.250,98.931,14.268,No,No,No,No,No,No,No,No,2.329,2.224,13,No,36,6.490,0,0,0,0,0,0,48,0,0,6,0,0,0,1,455,0,Inactive,31.500,18.254,102,0
24,0.500,Off,6.039,295,295,582,45,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,20,332,00:03:36,576,98.931,14.318,No,No,No,No,No,No,No,No,2.133,2.043,13,No,36,6.260,0,0,0,0,0,0,52,0,0,6,0,0,0,1,455,0,Inactive,27.500,17.980,102,0
25,0.500,Off,5.391,295,295,502,48,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,23.137,332,00:03:37,510,98.931,14.168,No,No,No,No,No,No,No,No,2.479,2.344,13,No,37,6.890,0,0,0,0,0,0,52,0,0,6,0,0,0,1,455,0,Inactive,32,18.820,102,0
26,0.500,Off,6.109,295,295,511,49,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,21.961,320,00:03:37,530,98.931,14.293,No,No,No,No,No,No,No,No,2.569,2.464,13,No,39,6.590,0,0,0,0,0,0,56,0,0,6,0,0,0,1,455,0,Inactive,33,18.391,102,0
27,0.500,Off,6.781,295,295,585,51,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,20.392,332,00:03:38,589,98.931,14.318,No,No,No,No,No,No,No,No,2.269,2.118,13,No,36,6.230,0,0,0,0,0,0,58,0,0,6,0,0,0,1,455,0,Inactive,27,18.117,102,0
28,0.500,Off,5.727,295,295,604,53,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,20.392,328,00:03:38,600.750,98.931,14.168,No,No,No,No,No,No,No,No,2.163,2.043,13,No,35,6.400,0,0,0,0,0,0,62,0,0,6,0,0,0,1,455,0,Inactive,23.500,18.117,102,0
29,0.500,Off,5.703,295,295,501,56,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,21.961,324,00:03:39,500.250,98.931,14.194,No,No,No,No,No,No,No,No,2.449,2.329,13,No,37,6.820,0,0,0,0,0,0,64,0,0,6,0,0,0,1,455,0,Inactive,32,18.684,102,0
30,0.500,Off,6.594,295,295,543,58,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,22.353,324,00:03:39,573.750,98.931,14.194,No,No,No,No,No,No,No,No,2.749,2.599,13,No,40,7.210,0,2,0,0,0,0,66,0,0,6,0,0,0,1,455,0,Inactive,32.500,18.254,102,0
31,0.500,Off,6.547,295,295,651,60,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,21.176,332,00:03:40,650.250,98.931,14.244,No,No,No,No,No,No,No,No,2.194,2.073,13,No,36,6.540,0,2,0,0,0,0,68,0,0,6,0,0,0,1,455,0,Inactive,18.500,18.117,102,0
32,0.500,Off,5.805,295,295,618,62,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,20.392,332,00:03:40,620,98.931,14.194,No,No,No,No,No,No,No,No,2.133,2.013,13,No,34,6.280,0,2,0,0,0,0,70,0,0,6,0,0,0,1,455,0,Inactive,21,18.117,102,0
33,0.500,Off,5.773,295,295,576,65,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,20,332,00:03:40,581.500,98.931,14.244,No,No,No,No,No,No,No,No,2.133,2.013,13,No,34,6.230,0,2,0,2,0,0,72,0,0,6,0,0,0,1,455,0,Inactive,28.500,18.117,102,0
34,0.500,Off,5.797,295,295,563,67,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,20.392,332,00:03:41,563,98.931,14.194,No,No,No,No,No,No,No,No,2.209,2.103,13,No,35,6.330,0,2,0,2,0,0,72,0,0,6,0,0,0,1,455,0,Inactive,31,18.117,102,0
