Num,1. Accelerator Pedal Position (APP) Indicated Angle (%),2. Air Flow Calculated (g/s),3. Barometric Pressure (BARO) (kPa),4. Calculated Three Way Catalyst (TWC) Temperature Bank 1 (degree C),5. Calculated Three Way Catalyst (TWC) Temperature Bank 2 (degree C),6. Catalytic Converter Protection Active,7. Cmmd. A/F Equivalence Ratio (: 1),8. Deceleration Fuel Cutoff,9. Engine Coolant Temperature (ECT) Sensor (degree C),10. Engine Load (%),11. Engine Run Time,12. Engine Speed (rpm),13. Evaporative Emission (EVAP) Purge Solenoid Command (%),14. Fuel Alcohol Content (%),15. Fuel Composition Learn,16. Fuel Tank Level Remaining (%),17. Fuel Trim Cell (   ),18. Fuel Trim Learn,19. Fuel Trim System Test State,20. Fuel Volatility,21. Heated Oxygen Sensor (HO2S) Bank 1 Sensor 1 (mV),22. Heated Oxygen Sensor (HO2S) Bank 1 Sensor 2 (mV),23. Heated Oxygen Sensor (HO2S) Bank 2 Sensor 1 (mV),24. Heated Oxygen Sensor (HO2S) Bank 2 Sensor 2 (mV),25. Hot Open Loop,26. Ignition 1 Signal (V),27. Injector PWM Bank 1 (ms),28. Injector PWM Bank 2 (ms),29. Intake Air Temperature (IAT) Sensor (degree C),30. Intake Manifold Pressure (kPa),31. Long Term Fuel Trim (FT) Bank 1 (%),32. Long Term Fuel Trim (FT) Bank 2 (%),33. Loop Status,34. LT Fuel Trim (FT) Test Average Bank 1 (   ),35. LT Fuel Trim (FT) Test Average Bank 1 w/o Purge (   ),36. LT Fuel Trim (FT) Test Average Bank 2 (   ),37. LT Fuel Trim (FT) Test Average Bank 2 w/o Purge (   ),38. Malfunction Indicator Lamp (MIL) Requested By DTC,39. Manifold Absolute Pressure (MAP) Performance Test 1,40. Manifold Absolute Pressure (MAP) Performance Test 2,41. Manifold Absolute Pressure (MAP) Sensor (kPa),42. Mass Air Flow (MAF) Performance Test,43. Mass Air Flow (MAF) Sensor (g/s),44. Power Enrichment,45. Short Term Fuel Trim (FT) Bank 1 (%),46. Short Term Fuel Trim (FT) Bank 2 (%),47. Spark (deg),48. ST Fuel Trim (FT) Test Average Bank 1 (   ),49. ST Fuel Trim (FT) Test Average Bank 2 (   ),50. Throttle Position (TP) Indicated Angle (%),51. Throttle Position (TP) Performance Test,52. Vehicle Speed Sensor (km/h)
32,37.180,84.695,99,709,709,No,1,Inactive,96,89.020,00:06:31,2113.750,0,20.500,Active,98.931,9,Enabled,Disabled,Low,147.569,750.868,238.715,711.806,Inactive,13.746,10.667,10.592,7,4,-8.594,-10.156,Closed,0,0.906,0,0.891,Yes,OK,OK,95,OK,78.010,Inactive,11.719,11.719,15,0,0,50.305,OK,65
33,36.164,85.219,99,713,713,No,1,Inactive,96,87.843,00:06:32,2135.500,0,20.500,Active,98.931,9,Enabled,Disabled,Low,607.639,763.889,199.653,711.806,Inactive,13.696,10.081,10.472,7,5,-7.812,-9.375,Closed,0,0.914,0,0.898,Yes,OK,OK,94,OK,78.970,Inactive,5.469,6.250,16,0,0,49.875,OK,66
34,34.289,84.094,99,713,713,No,1,Inactive,96,89.020,00:06:32,2133.750,0,20.500,Active,98.931,9,Enabled,Disabled,Low,407.986,746.528,243.056,716.146,Inactive,13.696,10.562,10.442,7,6,-7.031,-8.594,Closed,0,0.914,0,0.898,Yes,OK,OK,93,OK,78.590,Inactive,10.938,6.250,16.500,0,0,48.039,OK,68
35,33.996,84.281,99,718,718,No,1,Inactive,96,87.451,00:06:33,2159.250,0,20.500,Active,98.931,9,Enabled,Disabled,Low,690.104,759.549,659.722,724.826,Inactive,13.696,10.051,9.916,7,7,-7.031,-8.594,Closed,0,0.922,0,0.906,Yes,OK,OK,93,OK,78.970,Inactive,5.469,6.250,17.500,0,0,47.609,OK,69
36,33.996,84.945,99,718,718,No,1,Inactive,96,87.843,00:06:33,2170.500,75.294,20.500,Active,98.931,1,Enabled,Disabled,Low,672.743,759.549,664.062,729.167,Inactive,13.670,9.841,9.721,7,6,-8.594,-10.156,Closed,0,0.922,0,0.906,Yes,OK,OK,93,OK,78.200,Inactive,10.156,10.156,18,0,0,47.609,OK,70
37,33.781,85.680,99,718,718,No,1,Inactive,96,87.451,00:06:33,2191.500,0,20.500,Active,98.931,9,Disabled,Disabled,Low,842.014,798.611,850.694,742.188,Inactive,13.696,10.727,10.607,7,7,2.344,1.562,Closed,0,0.922,0,0.906,Yes,OK,OK,93,OK,79.560,Inactive,4.688,4.688,18.500,0,0,47.609,OK,71
38,32.648,85.977,99,722,722,No,1,Inactive,96,86.667,00:06:34,2196.250,0,20.500,Active,98.931,9,Disabled,Disabled,Low,703.125,794.271,759.549,742.188,Inactive,13.770,10.096,9.946,7,6,2.344,1.562,Closed,0,0.922,0,0.906,Yes,OK,OK,92,OK,79.940,Inactive,-1.562,-1.562,18.500,0,0,47.180,OK,71
39,30.949,83.359,99,722,722,No,1,Inactive,96,83.922,00:06:34,2192,0,20.500,Active,98.931,9,Disabled,Disabled,Low,802.951,811.632,833.333,755.208,Inactive,13.770,10.111,10.472,7,9,2.344,1.562,Closed,0,0.922,0,0.906,Yes,OK,OK,91,OK,76.490,Inactive,0,5.469,20,0,0,45.480,OK,72
40,29.641,82.367,99,726,726,No,1,Inactive,96,84.314,00:06:35,2181.250,0,20.500,Active,98.931,9,Disabled,Disabled,Low,130.208,772.569,538.194,750.868,Inactive,13.770,10.397,9.360,7,10,2.344,1.562,Closed,0,0.922,0,0.906,Yes,OK,OK,90,OK,76.870,Inactive,-6.250,-4.688,20,0,0,44.777,OK,73
41,25.285,75.383,99,726,726,No,1,Inactive,96,76.471,00:06:35,2160.750,0,20.500,Active,98.931,9,Disabled,Disabled,Low,164.931,776.910,785.590,755.208,Inactive,13.770,9.195,8.759,7,16,2.344,1.562,Closed,0,0.922,0,0.906,Yes,OK,OK,85,OK,69.030,Inactive,-6.250,-2.344,22.500,0,0,40.930,OK,74
42,23.586,70.812,99,726,726,No,1,Inactive,96,74.118,00:06:35,2105.750,0,20.500,Active,98.931,9,Disabled,Disabled,Low,603.299,785.590,824.653,755.208,Inactive,13.746,8.489,8.894,7,18,2.344,1.562,Closed,0,0.922,0,0.906,Yes,OK,OK,80,OK,63.960,Inactive,-4.688,-3.906,23.500,0,0,39.797,OK,74
43,21.242,65.984,99,729,729,No,1,Inactive,96,72.549,00:06:36,2077.250,0,20.500,Active,98.931,9,Disabled,Disabled,Low,234.375,785.590,169.271,742.188,Inactive,13.746,7.978,8.278,7,22,2.344,1.562,Closed,0,0.922,0,0.906,Yes,OK,OK,77,OK,61.100,Inactive,-4.688,0,24,0,0,38.527,OK,74
44,19.172,61.656,99,729,729,No,1,Inactive,96,70.588,00:06:36,2048.250,0,20.500,Active,98.931,9,Disabled,Disabled,Low,130.208,776.910,681.424,750.868,Inactive,13.770,7.828,7.272,7,26,2.344,1.562,Closed,0,0.922,0,0.906,Yes,OK,OK,73,OK,58.180,Inactive,-5.469,-10.156,24.500,0,0,37.102,OK,74
45,18.156,56.508,99,729,729,No,1,Inactive,95,71.373,00:06:37,1856.250,0,20.500,Active,98.931,9,Disabled,Disabled,Low,746.528,798.611,815.972,759.549,Inactive,13.770,7.332,7.918,7,24,2.344,1.562,Closed,0,0.922,0,0.906,Yes,OK,OK,75,OK,54.420,Inactive,-2.344,-7.031,23,0,0,36.672,OK,74
46,15.793,52.789,99,729,729,No,1,Inactive,95,70.196,00:06:37,1764,0,20.500,Active,98.931,9,Disabled,Disabled,Low,538.194,785.590,190.972,755.208,Inactive,13.795,7.257,7.557,7,25,2.344,1.562,Closed,0,0.922,0,0.906,Yes,OK,OK,75,OK,49.510,Inactive,-7.812,-10.938,22.500,0,0,35.402,OK,74
47,14.113,45.492,99,729,729,No,1,Inactive,95,60,00:06:37,1687.750,0,20.500,Active,98.931,9,Disabled,Disabled,Low,251.736,776.910,789.931,755.208,Inactive,13.795,6.671,6.280,7,32,2.344,1.562,Closed,0,0.922,0,0.906,Yes,OK,OK,65,OK,42.140,Inactive,-9.375,-3.125,25.500,0,0,33.840,OK,74
48,13.762,41.766,99,728,728,No,1,Inactive,95,58.824,00:06:38,1634.250,0,20.500,Active,98.931,9,Disabled,Disabled,Low,125.868,763.889,742.188,750.868,Inactive,13.845,6.295,6.295,7,36,2.344,1.562,Closed,0,0.922,0,0.906,Yes,OK,OK,64,OK,39.450,Inactive,-3.906,-3.125,26,0,0,33.137,OK,74
49,11.359,38.359,99,728,728,No,1,Inactive,95,52.157,00:06:38,1610.250,0,20.500,Active,98.931,9,Disabled,Disabled,Low,598.958,781.250,156.250,742.188,Inactive,13.845,5.514,5.784,7,39,2.344,1.562,Closed,0,0.922,0,0.906,Yes,OK,OK,61,OK,35.640,Inactive,-8.594,-2.344,27.500,0,0,31.711,OK,74
50,9.328,30.383,99,728,728,No,1,Inactive,95,45.098,00:06:39,1533.750,0,20.500,Active,98.931,9,Disabled,Disabled,Low,355.903,768.229,716.146,746.528,Inactive,13.820,4.898,4.733,7,47,2.344,1.562,Closed,0,0.922,0,0.906,Yes,OK,OK,54,OK,28.360,Inactive,-1.562,-2.344,30.500,0,0,29.309,OK,74
51,1.535,25.062,99,728,728,No,1,Inactive,95,37.647,00:06:39,1446.750,49.804,15.402,Active,98.931,0,Enabled,Disabled,Low,247.396,768.229,260.417,742.188,Inactive,13.820,3.275,3.185,7,52,-21.094,-23.438,Closed,0,0.922,0,0.906,Yes,OK,OK,48,OK,20.770,Inactive,3.125,2.344,33.500,0,0,26.320,OK,73
52,0.500,17.727,99,728,728,No,1,Inactive,95,33.333,00:06:39,1348.750,45.490,15.402,Active,98.931,7,Enabled,Disabled,Low,30.382,763.889,30.382,742.188,Inactive,13.795,2.584,2.614,7,62,-29.688,-30.469,Closed,0,0.922,0,0.906,Yes,OK,OK,56,OK,14.870,Inactive,7.812,9.375,17.500,0,0,30.441,OK,72
53,0.500,13.539,99,728,728,No,1,Inactive,95,23.922,00:06:40,1323.250,40,15.402,Active,98.931,7,Enabled,Disabled,Low,52.083,759.549,69.444,742.188,Inactive,13.720,4.432,4.026,7,45,-28.906,-29.688,Closed,0,0.922,0,0.906,Yes,OK,OK,55,OK,12.730,Inactive,10.156,10.156,12,0,0,22.766,OK,72
54,0.500,12.914,99,728,728,No,1,Inactive,95,22.353,00:06:40,1313.750,38.824,15.402,Active,98.931,7,Enabled,Disabled,Low,755.208,755.208,789.931,737.847,Inactive,13.720,3.786,3.741,7,46,-28.125,-29.688,Closed,0,0.922,0,0.906,Yes,OK,OK,53,OK,11.480,Inactive,1.562,10.938,12,0,0,21.359,OK,71
55,0.500,11.805,99,727,727,No,1,Inactive,95,20.784,00:06:41,1299.250,33.725,15.402,Active,98.931,7,Enabled,Disabled,Low,56.424,750.868,117.188,742.188,Inactive,13.696,3.726,3.305,7,50,-28.125,-29.688,Closed,0,0.922,0,0.906,Yes,OK,OK,50,OK,10.850,Inactive,6.250,6.250,12,0,0,21.359,OK,71
56,0.500,10.758,99,727,727,No,1,Inactive,95,18.431,00:06:41,1281.500,29.020,15.402,Active,98.931,7,Enabled,Disabled,Low,724.826,755.208,794.271,742.188,Inactive,13.696,3.260,3.065,7,53,-27.344,-28.125,Closed,0,0.922,0,0.906,Yes,OK,OK,47,OK,9.540,Inactive,2.344,6.250,12.500,0,0,20.500,OK,70
57,0.500,9.219,99,726,726,No,1,Inactive,95,13.333,00:06:42,1253,22.745,15.402,Active,98.931,7,Enabled,Disabled,Low,125.868,755.208,590.278,737.847,Inactive,13.770,2.734,2.389,7,59,-26.562,-28.125,Closed,0,0.922,0,0.906,Yes,OK,OK,38,OK,7.210,Inactive,7.812,6.250,19.500,0,0,18.508,OK,69
58,0.500,7.789,99,726,726,No,1,Inactive,95,12.157,00:06:42,1222.250,16.863,15.402,Active,98.931,7,Enabled,Disabled,Low,755.208,759.549,716.146,737.847,Inactive,13.746,2.389,2.239,7,64,-26.562,-27.344,Closed,0,0.922,0,0.906,Yes,OK,OK,36,OK,6.030,Inactive,7.812,6.250,26.500,0,0,17.375,OK,68
59,0.500,6.680,99,726,726,No,1,Inactive,95,10.980,00:06:42,1183.250,15.294,15.402,Active,98.931,7,Enabled,Disabled,Low,807.292,755.208,815.972,737.847,Inactive,13.770,2.103,1.863,7,68,-26.562,-27.344,Closed,0,0.922,0,0.906,Yes,OK,OK,32,OK,5.290,Inactive,2.344,1.562,31,0,0,16.672,OK,66
60,0.500,6.344,99,725,725,No,1,Inactive,95,11.765,00:06:43,1166.750,14.510,15.402,Active,98.931,7,Enabled,Disabled,Low,724.826,755.208,811.632,737.847,Inactive,13.770,1.893,1.698,7,68,-26.562,-27.344,Closed,0,0.922,0,0.906,Yes,OK,OK,30,OK,5.520,Inactive,-2.344,-2.344,32,0,0,16.672,OK,66
61,1.711,6.039,99,725,725,No,1,Inactive,95,12.157,00:06:43,1139.500,14.118,15.402,Active,98.931,7,Enabled,Disabled,Low,60.764,755.208,164.931,742.188,Inactive,13.770,1.893,1.863,7,69,-26.562,-27.344,Closed,0,0.922,0,0.906,Yes,OK,OK,30,OK,5.790,Inactive,-2.344,4.688,31,0,0,17.375,OK,65
62,2.727,6.195,99,725,725,No,1,Inactive,95,13.333,00:06:44,1153,14.510,15.402,Active,98.931,7,Enabled,Disabled,Low,69.444,759.549,442.708,737.847,Inactive,13.820,2.314,2.043,7,69,-25.781,-27.344,Closed,0,0.922,0,0.906,Yes,OK,OK,31,OK,6.210,Inactive,6.250,4.688,33.500,0,0,18.078,OK,65
63,8.859,7.688,99,725,725,No,1,Inactive,95,26.667,00:06:44,1159,15.686,15.402,Active,98.931,0,Enabled,Disabled,Low,755.208,755.208,538.194,733.507,Inactive,13.770,3.380,3.020,7,60,-21.875,-23.438,Closed,0,0.922,0,0.906,Yes,OK,OK,37,OK,13.150,Inactive,2.344,0.781,30.500,0,0,23.898,OK,64
64,14.660,15.250,99,725,725,No,1,Inactive,95,55.294,00:06:44,1238.500,37.647,15.402,Active,98.931,0,Enabled,Disabled,Low,82.465,746.528,138.889,742.188,Inactive,13.746,7.016,6.355,7,30,-21.875,-23.438,Closed,0,0.922,0,0.906,Yes,OK,OK,66,OK,26.920,Inactive,6.250,5.469,14.500,0,0,30.578,OK,64
