Row,* Park/Neutral Position (PNP) Switch (If Equipped),Accelerator Pedal Position (APP) Indicated Angle [%],Air Conditioning (AC) Relay Command,Air Flow Calculated [g/s],Ambient Air Temperature [degree C],Barometric Pressure (BARO) [kPa],Brake Pedal Position (BPP) Signal,Cold Startup,Cruise Control Active,Deceleration Fuel Cutoff,Desired Idle Speed [rpm],Engine Control (EC) Ignition Relay Command,Engine Control (EC) Ignition Relay Feedback Signal [V],Engine Coolant Temperature (ECT) Sensor [degree C],Engine Load [%],Engine Oil Level Switch,Engine Oil Pressure Sensor [kPa],Engine Run Time,Engine Speed [rpm],Evaporative Emission (EVAP) Purge Solenoid Command [%],Evaporative Emission (EVAP) Vent Solenoid Command,Fuel Pump Relay Circuit Open Test Status,Fuel Pump Relay Circuit Short Gnd Test Status,Fuel Pump Relay Circuit Short Volts Test Status,Fuel Pump Relay Command,Fuel Tank Level Remaining [%],Fuel Tank Pressure Sensor [mmHg],Fuel Trim Cell,Heated Oxygen Sensor (HO2S) Bank 1 Sensor 1 [mV],Heated Oxygen Sensor (HO2S) Bank 1 Sensor 2 [mV],Heated Oxygen Sensor (HO2S) Bank 2 Sensor 1 [mV],Heated Oxygen Sensor (HO2S) Bank 2 Sensor 2 [mV],Ignition 1 Signal [V],Ignition Accessory Signal,Ignition Off Time [min],Injector PWM Bank 1 [ms],Injector PWM Bank 2 [ms],Intake Air Temperature (IAT) Sensor [degree C],Intake Manifold Pressure [kPa],Long Term Fuel Trim (FT) Bank 1 [%],Long Term Fuel Trim (FT) Bank 2 [%],Loop Status,Malfunction Indicator Lamp (MIL) Circuit Open Test Status,Malfunction Indicator Lamp (MIL) Circuit Short Gnd Test Status,Malfunction Indicator Lamp (MIL) Circuit Short Volts Test Status,Malfunction Indicator Lamp (MIL) Command,Malfunction Indicator Lamp (MIL) Requested By DTC,Manifold Absolute Pressure (MAP) Sensor [kPa],Mass Air Flow (MAF) Sensor [g/s],Power Enrichment,Short Term Fuel Trim (FT) Bank 1 [%],Short Term Fuel Trim (FT) Bank 2 [%],Spark [deg],Throttle Position (TP) Indicated Angle [%],Vehicle Speed Sensor [km/h],Warm-Ups Since DTC Cleared [counts],Warm-Ups w/o Emission Faults,Warm-Ups w/o Non-Emission Faults
11,In Gear,0.500,Off,5.852,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,79,19.216,OK,332,00:09:42,791.750,0,Not Venting,Not Run,OK,Not Run,Off,11.088,-0.961,15,0,0,802.951,716.146,13.919,Off,50283,1.412,1.397,8,73,-12.500,-12.500,Open,Not Run,Not Run,OK,On,Yes,25,6.220,Inactive,-9.375,-10.156,24.500,17.395,53,3,0,0
12,In Gear,0.500,Off,5.797,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,79,18.039,OK,328,00:09:43,772.750,0,Not Venting,Not Run,OK,Not Run,Off,10.696,-0.722,15,0,0,733.507,720.486,13.895,Off,50283,1.442,1.412,8,72,-12.500,-13.281,Open,Not Run,Not Run,OK,On,Yes,26,5.860,Inactive,-10.156,-10.938,24.500,17.395,53,3,0,0
13,In Gear,0.500,Off,5.703,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,79,18.039,OK,328,00:09:43,737.750,0,Not Venting,Not Run,OK,Not Run,Off,10.696,-0.533,15,0,0,681.424,716.146,13.895,Off,50283,1.668,1.442,8,71,-12.500,-14.062,Open,Not Run,Not Run,OK,On,Yes,26,5.820,Inactive,-1.562,-11.719,23,17.395,52,3,0,0
14,In Gear,0.500,Off,6.023,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,79,18.431,OK,332,00:09:44,793.500,0,Not Venting,Not Run,OK,Not Run,Off,11.088,-0.403,15,0,0,685.764,724.826,13.845,Off,50283,1.472,1.307,8,72,-13.281,-15.625,Open,Not Run,Not Run,OK,On,Yes,26,6.020,Inactive,-6.250,-12.500,26,17.395,52,3,0,0
15,In Gear,0.500,Off,5.805,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,79,18.431,OK,324,00:09:44,747,0,Not Venting,Not Run,OK,Not Run,Off,11.480,-0.284,15,0,0,65.104,716.146,13.845,Off,50283,1.608,1.547,8,71,-14.062,-15.625,Open,Not Run,Not Run,OK,On,Yes,27,5.900,Inactive,-7.031,-4.688,24,17.395,52,3,0,0
16,In Gear,0.500,Off,5.977,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,79,17.647,OK,332,00:09:44,781.750,0,Not Venting,Not Run,OK,Not Run,Off,11.873,-0.180,15,0,0,425.347,720.486,13.845,Off,50283,1.457,1.472,8,72,-14.062,-15.625,Open,Not Run,Not Run,OK,On,Yes,26,5.680,Inactive,-7.031,-3.906,25,17.395,51,3,0,0
17,In Gear,0.500,Off,5.672,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,79,18.039,OK,332,00:09:45,717.500,0,Not Venting,Not Run,OK,Not Run,Off,11.873,-0.090,15,0,0,781.250,716.146,13.870,Off,50283,1.638,1.472,8,71,-14.062,-15.625,Open,Not Run,Not Run,OK,On,Yes,27,5.820,Inactive,-2.344,-8.594,23,17.395,51,3,0,0
18,In Gear,0.500,Off,5.750,6,98,Applied,No,Inactive,Inactive,624,Off,13.700,79,18.039,OK,328,00:09:45,730.750,0,Not Venting,Not Run,OK,Not Run,Off,11.480,-0.002,15,0,0,677.083,716.146,13.845,Off,50283,1.668,1.427,8,71,-14.062,-16.406,Open,Not Run,Not Run,OK,On,Yes,27,6.040,Inactive,-1.562,-9.375,23,17.395,50,3,0,0
19,In Gear,0.500,Off,5.727,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,80,18.824,OK,324,00:09:46,711.750,0,Not Venting,Not Run,OK,Not Run,Off,11.480,0.065,15,0,0,121.528,716.146,13.845,Off,50283,1.623,1.593,8,70,-14.062,-17.188,Open,Not Run,Not Run,OK,On,Yes,27,6.020,Inactive,-6.250,-5.469,22.500,17.395,49,3,0,0
20,In Gear,0.500,Off,5.703,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,80,18.824,OK,328,00:09:46,709.750,0,Not Venting,Not Run,OK,Not Run,Off,10.696,0.108,15,0,0,91.146,720.486,13.870,Off,50283,1.698,1.593,8,70,-15.625,-17.188,Open,Not Run,Not Run,OK,On,Yes,28,5.920,Inactive,-1.562,-5.469,22.500,17.395,48,3,0,0
21,In Gear,0.500,Off,5.523,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,80,18.039,OK,328,00:09:46,680.500,0,Not Venting,Not Run,OK,Not Run,Off,8.735,0.121,15,0,0,755.208,724.826,13.820,Off,50283,1.668,1.562,8,70,-15.625,-17.188,Open,Not Run,Not Run,OK,On,Yes,28,5.730,Inactive,-6.250,-9.375,20.500,17.395,47,3,0,0
22,In Gear,0.500,Off,5.625,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,80,18.824,OK,328,00:09:47,663.500,0,Not Venting,Not Run,OK,Not Run,Off,5.990,0.157,15,0,0,212.674,711.806,13.895,Off,50283,1.788,1.653,8,69,-15.625,-17.969,Open,Not Run,Not Run,OK,On,Yes,29,5.950,Inactive,-1.562,-4.688,21.500,17.395,46,3,0,0
23,In Gear,0.500,Off,5.852,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,80,18.431,OK,328,00:09:47,699.500,0,Not Venting,Not Run,OK,Not Run,Off,4.029,0.162,15,0,0,655.382,716.146,13.895,Off,50283,1.653,1.608,8,69,-15.625,-17.969,Open,Not Run,Not Run,OK,On,Yes,29,5.970,Inactive,-5.469,-4.688,22.500,17.395,45,3,0,0
24,In Gear,0.500,Off,5.672,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,80,18.824,OK,328,00:09:48,689.750,0,Not Venting,Not Run,OK,Not Run,Off,2.853,0.164,15,0,0,646.701,724.826,13.870,Off,50283,1.638,1.472,8,70,-15.625,-19.531,Open,Not Run,Not Run,OK,On,Yes,29,6.030,Inactive,-5.469,-9.375,22,17.395,43,3,0,0
25,In Gear,0.500,Off,5.258,6,98,Applied,No,Inactive,Inactive,624,Off,13.700,80,18.039,OK,324,00:09:48,610.750,0,Not Venting,Not Run,OK,Not Run,Off,2.069,0.169,15,0,0,43.403,716.146,13.820,Off,50283,1.758,1.698,8,68,-16.406,-19.531,Open,Not Run,Not Run,OK,On,Yes,30,5.620,Inactive,-6.250,-4.688,20,17.395,42,3,0,0
26,In Gear,0.500,Off,5.500,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,80,18.824,OK,324,00:09:48,626,0,Not Venting,Not Run,OK,Not Run,Off,1.284,0.178,15,0,0,65.104,724.826,13.870,Off,50283,1.923,1.803,8,67,-16.406,-19.531,Open,Not Run,Not Run,OK,On,Yes,31,5.760,Inactive,-1.562,-3.906,20.500,17.395,40,3,0,0
27,In Gear,0.500,Off,5.844,6,98,Released,No,Inactive,Inactive,624,Off,13.800,80,18.431,OK,328,00:09:49,642,0,Not Venting,Not Run,OK,Not Run,Off,0.892,0.202,15,0,0,177.951,716.146,13.870,Off,50283,1.923,1.878,8,66,-16.406,-19.531,Open,Not Run,Not Run,OK,On,Yes,32,5.800,Inactive,-0.781,0,21,17.395,39,3,0,0
28,In Gear,0.500,Off,5.773,6,98,Released,No,Inactive,Inactive,624,Off,13.800,80,18.824,OK,320,00:09:49,645.750,0,Not Venting,Not Run,OK,Not Run,Off,0.892,0.216,15,0,0,772.569,716.146,13.870,Off,50283,1.983,1.833,8,67,-16.406,-19.531,Open,Not Run,Not Run,OK,On,Yes,31,5.930,Inactive,3.125,0.781,21,17.395,38,3,0,0
29,In Gear,0.500,Off,5.211,6,98,Released,No,Inactive,Inactive,624,Off,13.800,80,18.824,OK,328,00:09:50,576,0,Not Venting,Not Run,OK,Not Run,Off,0.892,0.207,15,0,0,750.868,716.146,13.845,Off,50283,1.893,1.758,8,66,-16.406,-19.531,Open,Not Run,Not Run,OK,On,Yes,32,5.890,Inactive,-4.688,-7.812,21.500,17.395,38,3,0,0
30,In Gear,0.500,Off,5.180,6,98,Released,No,Inactive,Inactive,624,Off,13.700,80,18.824,OK,312,00:09:50,556.500,0,Not Venting,Not Run,OK,Not Run,Off,3.245,0.173,15,0,0,65.104,716.146,13.870,Off,50283,1.968,1.893,8,65,-16.406,-20.312,Open,Not Run,Not Run,OK,On,Yes,32,5.830,Inactive,-4.688,-3.125,24.500,17.395,37,3,0,0
31,In Gear,6.809,Off,5.727,6,98,Released,No,Inactive,Inactive,624,Off,13.800,80,27.843,OK,320,00:09:50,578,0,Not Venting,Not Run,OK,Not Run,Off,5.990,0.148,15,0,0,60.764,716.146,13.895,Off,50283,2.509,2.314,8,65,-16.406,-20.312,Open,Not Run,Not Run,OK,On,Yes,33,8.650,Inactive,0.781,-2.344,19.500,21.809,36,3,0,0
32,In Gear,21.379,Off,21.227,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,94.902,OK,324,00:09:51,916.750,0,Not Venting,Not Run,OK,Not Run,Off,7.951,0.180,8,0,0,842.014,716.146,13.820,Off,50283,7.016,7.392,8,39,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,56,33.530,Inactive,-3.906,1.562,16.500,33.605,37,3,0,0
33,In Gear,25.715,Off,43.984,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,89.804,OK,368,00:09:51,1371,0,Not Venting,Not Run,OK,Not Run,Off,9.520,0.205,9,0,0,164.931,759.549,13.795,Off,50283,8.579,8.969,8,15,0.781,-0.781,Open,Not Run,Not Run,OK,On,Yes,82,48.860,Inactive,-7.812,-7.031,1.500,37.863,35,3,0,0
34,In Gear,26.730,Off,56.242,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,85.490,OK,388,00:09:52,1700.750,0,Not Venting,Not Run,OK,Not Run,Off,11.088,0.175,9,0,0,78.125,724.826,13.820,Off,50283,9.225,9.345,8,13,0.781,-0.781,Open,Not Run,Not Run,OK,On,Yes,85,58.310,Inactive,-5.469,2.344,18,39.719,36,3,0,0
35,In Gear,26.301,Off,57.758,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,83.922,OK,404,00:09:52,1759.500,0,Not Venting,Not Run,OK,Not Run,Off,12.265,0.164,9,0,0,824.653,737.847,13.795,Off,50283,9.525,9.390,8,14,0.781,-0.781,Open,Not Run,Not Run,OK,On,Yes,84,59.620,Inactive,5.469,5.469,20.500,39.582,37,3,0,0
36,In Gear,26.301,Off,58.031,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,83.529,OK,400,00:09:52,1747.250,0,Not Venting,Not Run,OK,Not Run,Off,13.441,0.202,9,0,0,464.410,742.188,13.820,Off,50283,9.255,9.195,8,14,0.781,-0.781,Open,Not Run,Not Run,OK,On,Yes,84,59.360,Inactive,1.562,2.344,20,39.582,39,3,0,0
37,In Gear,26.301,Off,58.328,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,84.314,OK,408,00:09:53,1757.500,0,Not Venting,Not Run,OK,Not Run,Off,14.225,0.239,9,0,0,724.826,746.528,13.820,Off,50283,9.345,8.774,8,14,0.781,-0.781,Open,Not Run,Not Run,OK,On,Yes,84,59.100,Inactive,1.562,-3.125,20.500,39.582,40,3,0,0
38,In Gear,26.262,Off,58.914,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,83.922,OK,408,00:09:53,1763.250,94.118,Not Venting,Not Run,OK,Not Run,Off,13.833,0.245,1,0,0,638.021,729.167,13.795,Off,50283,8.879,8.984,8,14,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,84,59.100,Inactive,-3.125,3.125,21,39.582,42,3,0,0
39,In Gear,26.262,Off,60.227,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,83.529,OK,408,00:09:54,1795,100,Not Venting,Not Run,OK,Not Run,Off,13.049,-0.041,1,0,0,768.229,720.486,13.795,Off,50283,9.495,9.120,8,14,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,84,60.420,Inactive,7.812,3.906,22,39.855,43,3,0,0
40,In Gear,26.262,Off,60.383,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,83.137,OK,408,00:09:54,1805.250,100,Not Venting,Not Run,OK,Not Run,Off,12.265,-0.553,1,0,0,381.944,720.486,13.795,Off,50283,8.699,9.075,8,14,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,84,60.420,Inactive,4.688,3.125,21.500,39.719,45,3,0,0
41,In Gear,26.262,Off,61.367,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,81.961,OK,412,00:09:54,1819.500,100,Not Venting,Not Run,OK,Not Run,Off,12.265,-0.824,1,0,0,785.590,716.146,13.795,Off,50283,8.564,9.090,8,14,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,84,60.160,Inactive,-0.781,5.469,22,39.992,46,3,0,0
42,In Gear,26.262,Off,63.008,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,84.314,OK,412,00:09:55,1831.500,100,Not Venting,Not Run,OK,Not Run,Off,12.657,-1.386,1,0,0,130.208,720.486,13.795,Off,50283,8.729,9.090,8,13,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,85,62.230,Inactive,6.250,3.906,22,40.422,48,3,0,0
43,In Gear,26.262,Off,63.859,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,83.529,OK,412,00:09:55,1861.250,100,Not Venting,Not Run,OK,Not Run,Off,13.441,-1.888,1,0,0,729.167,724.826,13.795,Off,50283,8.684,8.549,8,13,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,85,62.810,Inactive,6.250,3.906,22.500,40.422,50,3,0,0
44,In Gear,26.730,Off,66.102,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,83.529,OK,416,00:09:55,1889,100,Not Venting,Not Run,OK,Not Run,Off,14.225,-2.347,1,0,0,820.312,720.486,13.795,Off,50283,9.300,9.255,8,11,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,86,64.400,Inactive,5.469,4.688,22,41.281,52,3,0,0
45,In Gear,26.730,Off,67.164,6,98,Released,No,Inactive,Inactive,624,Off,13.600,81,83.922,OK,412,00:09:56,1904.250,100,Not Venting,Not Run,OK,Not Run,Off,14.618,-2.707,1,0,0,564.236,716.146,13.795,Off,50283,9.225,9.165,8,12,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,86,64.690,Inactive,4.688,3.906,22,41.418,53,3,0,0
46,In Gear,26.730,Off,67.805,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,83.922,OK,416,00:09:56,1922.500,100,Not Venting,Not Run,OK,Not Run,Off,15.402,-3.010,1,0,0,724.826,742.188,13.795,Off,50283,9.165,8.669,8,11,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,86,64.540,Inactive,3.906,-2.344,22,41.418,55,3,0,0
47,In Gear,26.730,Off,68.586,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,83.529,OK,412,00:09:57,1940.250,100,Not Venting,Not Run,OK,Not Run,Off,16.186,-3.292,1,0,0,789.931,720.486,13.845,Off,50283,9.165,9.044,8,12,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,86,65.730,Inactive,3.906,3.125,22,41.418,57,3,0,0
48,In Gear,26.730,Off,69.023,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,83.137,OK,416,00:09:57,1954.750,100,Not Venting,Not Run,OK,Not Run,Off,16.578,-3.521,1,0,0,729.167,720.486,13.845,Off,50283,9.300,9.240,8,11,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,86,65.890,Inactive,4.688,3.125,22.500,41.555,58,3,0,0
49,In Gear,26.633,Off,69.688,6,98,Released,No,Inactive,Inactive,624,Off,13.800,81,83.922,OK,416,00:09:57,1969.500,100,Not Venting,Not Run,OK,Not Run,Off,17.363,-3.731,1,0,0,694.444,716.146,13.820,Off,50283,8.699,8.639,8,12,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,86,66.970,Inactive,4.688,-1.562,22.500,41.555,59,3,0,0
50,In Gear,23.625,Off,66.844,6,98,Released,No,Inactive,Inactive,624,Off,13.700,81,79.216,OK,416,00:09:58,1971.750,100,Not Venting,Not Run,OK,Not Run,Off,17.755,-3.928,1,0,0,802.951,729.167,13.845,Off,50283,8.143,8.519,8,14,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,83,62.660,Inactive,4.688,3.906,25,39.719,61,3,0,0
51,In Gear,18.527,Off,58.719,6,98,Released,No,Inactive,Inactive,624,Off,13.800,81,71.765,OK,412,00:09:58,1906.250,100,Not Venting,Not Run,OK,Not Run,Off,18.147,-4.118,1,0,0,351.562,716.146,13.870,Off,50283,7.302,7.602,8,22,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,76,55.640,Inactive,5.469,3.125,26.500,36.867,62,3,0,0
52,In Gear,11.047,Off,41.859,6,98,Released,No,Inactive,Inactive,624,Off,13.800,81,49.020,OK,404,00:09:59,1797.750,97.255,Not Venting,Not Run,OK,Not Run,Off,18.539,-4.424,1,0,0,850.694,729.167,13.845,Off,50283,5.409,5.093,8,36,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,63,35.440,Inactive,4.688,3.125,30,31.906,63,3,0,0
53,In Gear,10.031,Off,33.805,6,98,Released,No,Inactive,Inactive,624,Off,13.800,81,45.882,OK,396,00:09:59,1743.750,81.176,Not Venting,Not Run,OK,Not Run,Off,18.539,-4.788,1,0,0,807.292,746.528,13.870,Off,50283,4.252,4.192,8,46,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,52,31.950,Inactive,-3.125,-4.688,33.500,30.617,63,3,0,0
54,In Gear,9.367,Off,30.391,6,98,Released,No,Inactive,Inactive,624,Off,13.800,81,41.569,OK,392,00:09:59,1730,75.294,Not Venting,Not Run,OK,Not Run,Off,18.931,-5.108,1,0,0,755.208,742.188,13.845,Off,50283,4.117,4.087,8,50,-3.125,-3.125,Open,Not Run,Not Run,OK,On,Yes,48,28.990,Inactive,1.562,0.781,35.500,29.777,63,3,0,0
55,In Gear,9.367,Off,26.602,6,98,Released,No,Inactive,Inactive,624,Off,13.800,81,50.196,OK,384,00:10:00,1457,71.765,Not Venting,Not Run,OK,Not Run,Off,17.755,-5.317,0,0,0,815.972,750.868,13.820,Off,50283,4.056,3.966,8,49,-10.156,-10.938,Open,Not Run,Not Run,OK,On,Yes,49,29.310,Inactive,-3.906,-5.469,32,29.621,63,3,0,0
56,In Gear,9.348,Off,28.570,6,98,Released,No,Inactive,Inactive,624,Off,13.800,81,52.157,OK,376,00:10:00,1382.750,74.510,Not Venting,Not Run,OK,Not Run,Off,16.186,-5.447,0,0,0,134.549,746.528,13.845,Off,50283,4.928,4.763,8,43,-10.156,-10.938,Open,Not Run,Not Run,OK,On,Yes,55,28.670,Inactive,3.125,1.562,29,29.621,63,3,0,0
57,In Gear,9.348,Off,28.133,6,98,Released,No,Inactive,Inactive,624,Off,13.800,82,49.804,OK,376,00:10:01,1397.250,76.863,Not Venting,Not Run,OK,Not Run,Off,14.618,-5.569,0,0,0,781.250,750.868,13.895,Off,50283,4.733,4.327,8,44,-10.156,-10.938,Open,Not Run,Not Run,OK,On,Yes,54,27.680,Inactive,-2.344,3.125,30,29.348,63,3,0,0
