Num,1. * Park/Neutral Position (PNP) Switch (If Equipped),2. Accelerator Pedal Position (APP) Indicated Angle (%),3. Air Conditioning (A/C) Relay Command,4. Air Flow Calculated (g/s),5. Ambient Air Temperature (degree C),6. Barometric Pressure (BARO) (kPa),7. Brake Pedal Position (BPP) Signal,8. Cold Startup,9. Cruise Control Active,10. Deceleration Fuel Cutoff,11. Desired Idle Speed (rpm),12. Engine Control (EC) Ignition Relay Command,13. Engine Control (EC) Ignition Relay Feedback Signal (V),14. Engine Coolant Temperature (ECT) Sensor (degree C),15. Engine Load (%),16. Engine Oil Level Switch,17. Engine Oil Pressure Sensor (kPa),18. Engine Run Time,19. Engine Speed (rpm),20. Evaporative Emission (EVAP) Purge Solenoid Command (%),21. Evaporative Emission (EVAP) Vent Solenoid Command,22. Fuel Pump Relay Circuit Open Test Status,23. Fuel Pump Relay Circuit Short Gnd Test Status,24. Fuel Pump Relay Circuit Short Volts Test Status,25. Fuel Pump Relay Command,26. Fuel Tank Level Remaining (%),27. Fuel Tank Pressure Sensor (mmHg),28. Fuel Trim Cell (   ),29. Heated Oxygen Sensor (HO2S) Bank 1 Sensor 1 (mV),30. Heated Oxygen Sensor (HO2S) Bank 1 Sensor 2 (mV),31. Heated Oxygen Sensor (HO2S) Bank 2 Sensor 1 (mV),32. Heated Oxygen Sensor (HO2S) Bank 2 Sensor 2 (mV),33. Ignition 1 Signal (V),34. Ignition Accessory Signal,35. Ignition Off Time (min),36. Injector PWM Bank 1 (ms),37. Injector PWM Bank 2 (ms),38. Intake Air Temperature (IAT) Sensor (degree C),39. Intake Manifold Pressure (kPa),40. Long Term Fuel Trim (FT) Bank 1 (%),41. Long Term Fuel Trim (FT) Bank 2 (%),42. Loop Status,43. Malfunction Indicator Lamp (MIL) Circuit Open Test Status,44. Malfunction Indicator Lamp (MIL) Circuit Short Gnd Test Status,45. Malfunction Indicator Lamp (MIL) Circuit Short Volts Test Status,46. Malfunction Indicator Lamp (MIL) Command,47. Malfunction Indicator Lamp (MIL) Requested By DTC,48. Manifold Absolute Pressure (MAP) Sensor (kPa),49. Mass Air Flow (MAF) Sensor (g/s),50. Power Enrichment,51. Short Term Fuel Trim (FT) Bank 1 (%),52. Short Term Fuel Trim (FT) Bank 2 (%),53. Spark (deg),54. Throttle Position (TP) Indicated Angle (%),55. Vehicle Speed Sensor (km/h),56. Warm-Ups Since DTC Cleared (counts),57. Warm-Ups w/o Emission Faults (   ),58. Warm-Ups w/o Non-Emission Faults (   )
11,Park/Neutral,0.500,Off,0,4,98,Released,No,Inactive,Inactive,1200,On,11.700,22,0,OK,20,00:00:00,0,0,Venting,OK,Not Run,OK,Off,98.931,1.615,14,447.049,434.028,447.049,447.049,11.704,On,0,0,0,14,0,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,98,0,Inactive,0,0,11,25.500,0,0,0,0
12,Park/Neutral,0.500,Off,0,4,98,Released,No,Inactive,Inactive,1200,On,11.700,22,0,OK,20,00:00:00,0,0,Venting,OK,Not Run,OK,Off,98.931,1.615,14,442.708,438.368,447.049,447.049,11.704,On,0,0,0,14,0,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,98,0,Inactive,0,0,11,25.500,0,0,0,0
13,Park/Neutral,0.500,Off,0,4,98,Released,No,Inactive,Inactive,1200,On,9.800,22,0,OK,20,00:00:00,0,0,Venting,Not Run,OK,Not Run,On,98.931,1.615,14,442.708,434.028,447.049,442.708,9.985,Off,0,0,0,14,1,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,97,0,Inactive,0,0,11,17.258,0,0,0,0
14,Park/Neutral,0.500,Off,2.539,4,98,Released,No,Inactive,Inactive,1200,On,10.100,22,3.922,OK,20,00:00:00,84.250,0,Venting,Not Run,OK,Not Run,On,98.931,1.615,14,451.389,438.368,447.049,442.708,10.184,Off,0,24.008,51.277,14,7,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,92,1.270,Inactive,0,0,11,15.559,0,0,0,0
15,Park/Neutral,0.500,Off,20.266,4,98,Released,No,Inactive,Inactive,1192,On,10.400,22,8.235,OK,20,00:00:00,823.500,0,Venting,Not Run,OK,Not Run,On,98.931,1.615,14,477.431,481.771,477.431,477.431,10.533,On,0,8.428,8.323,14,26,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,75,2.630,Inactive,0,0,11,15.988,0,0,0,0
16,Park/Neutral,0.500,Off,8.383,4,98,Released,No,Inactive,Inactive,1192,On,11.300,22,18.039,OK,24,00:00:00,544.250,0,Venting,Not Run,OK,Not Run,On,98.931,1.703,14,447.049,451.389,447.049,455.729,11.379,On,0,4.688,4.627,14,52,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,47,5.620,Inactive,0,0,13,18.391,0,0,0,0
17,Park/Neutral,0.500,Off,8.617,14,98,Released,No,Inactive,Inactive,1192,On,11.300,22,32.941,OK,28,00:00:01,583.500,0,Venting,Not Run,OK,Not Run,On,98.931,1.640,14,447.049,447.049,447.049,455.729,11.405,On,0,4.056,4.011,14,54,-17.188,-18.750,Open,Not Run,Not Run,OK,Off,No,44,10.180,Inactive,0,0,28,21.379,0,0,0,0
18,Park/Neutral,0.500,Off,13.047,14,98,Released,No,Inactive,Inactive,1184,On,12.200,22,28.235,OK,36,00:00:01,1020,0,Venting,Not Run,OK,Not Run,On,98.931,1.714,14,447.049,451.389,447.049,451.389,12.326,On,0,2.749,2.704,14,60,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,39,10.990,Inactive,0,0,20.500,21.516,0,0,0,0
19,Park/Neutral,0.500,Off,9.086,14,98,Released,No,Inactive,Inactive,1184,On,13.600,22,20.784,OK,80,00:00:01,1014.750,0,Venting,Not Run,OK,Not Run,On,98.931,1.663,14,447.049,455.729,447.049,455.729,13.770,On,0,1.983,1.968,14,70,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,29,8.390,Inactive,0,0,20.500,19.953,0,0,0,0
20,Park/Neutral,0.500,Off,6.836,14,98,Released,No,Inactive,Inactive,1184,On,13.600,22,29.804,OK,196,00:00:02,726.750,0,Venting,Not Run,OK,Not Run,On,98.931,1.676,14,442.708,447.049,447.049,455.729,13.696,On,0,2.885,2.855,14,68,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,30,9.460,Inactive,0,0,23,20.676,0,0,0,0
21,Park/Neutral,0.500,Off,6.695,14,98,Released,No,Inactive,Inactive,1184,On,13.300,22,31.765,OK,340,00:00:02,570.750,0,Venting,Not Run,OK,Not Run,On,98.931,1.640,14,447.049,455.729,447.049,451.389,13.447,On,0,4.823,4.657,14,62,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,36,9.830,Inactive,0,0,30,21.105,0,0,0,0
22,Park/Neutral,0.500,Off,8.859,14,98,Released,No,Inactive,Inactive,1176,On,13.400,22,39.216,OK,344,00:00:03,569.250,0,Venting,Not Run,OK,Not Run,On,98.931,1.607,14,447.049,447.049,442.708,455.729,13.497,On,0,6.641,6.430,14,52,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,45,12.150,Inactive,0,0,27.500,22.941,0,0,0,0
23,Park/Neutral,0.500,Off,14.977,14,98,Released,No,Inactive,Inactive,1176,On,14.200,22,45.098,OK,352,00:00:03,876.750,0,Venting,Not Run,OK,Not Run,On,98.931,1.674,14,447.049,455.729,447.049,460.069,14.318,On,0,5.168,5.439,14,49,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,49,15.620,Inactive,0,0,20.500,25.227,0,0,0,0
24,Park/Neutral,0.500,Off,14.508,14,98,Released,No,Inactive,Inactive,1176,On,14.200,22,33.725,OK,376,00:00:03,1101.750,0,Venting,Not Run,OK,Not Run,On,98.931,1.649,14,442.708,451.389,438.368,455.729,14.417,On,0,1.683,1.713,14,59,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,40,14.500,Inactive,0,0,10.500,24.074,0,0,0,0
25,Park/Neutral,0.500,Off,13.914,14,98,Released,No,Inactive,Inactive,1168,On,14.300,22,52.157,OK,356,00:00:04,889,0,Venting,Not Run,OK,Not Run,On,98.931,1.597,14,438.368,455.729,438.368,455.729,14.443,On,0,4.627,4.582,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.290,Inactive,0,0,20.500,25.930,0,0,0,0
26,Park/Neutral,0.500,Off,15.578,14,98,Released,No,Inactive,Inactive,1168,On,14.300,22,38.039,OK,360,00:00:04,1086,0,Venting,Not Run,OK,Not Run,On,98.931,1.595,14,438.368,447.049,442.708,451.389,14.467,On,0,2.614,2.629,14,56,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,42,16.260,Inactive,0,0,12,24.934,0,0,0,0
27,Park/Neutral,0.500,Off,15.305,14,98,Released,No,Inactive,Inactive,1168,On,14.300,22,50.588,OK,360,00:00:05,956.750,0,Venting,Not Run,OK,Not Run,On,98.931,1.642,14,442.708,451.389,438.368,455.729,14.493,On,0,4.552,4.402,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.960,Inactive,0,0,20.500,26.223,0,0,0,0
28,Park/Neutral,0.500,Off,15.844,14,98,Released,No,Inactive,Inactive,1160,On,14.300,22,40.392,OK,360,00:00:05,1085.500,0,Venting,Not Run,OK,Not Run,On,98.931,1.597,14,442.708,455.729,438.368,451.389,14.493,On,0,2.885,2.749,14,56,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,43,17.050,Inactive,0,0,13.500,25.363,0,0,0,0
29,Park/Neutral,0.500,Off,15.867,14,98,Released,No,Inactive,Inactive,1160,On,14.300,22,49.020,OK,360,00:00:05,993,0,Venting,Not Run,OK,Not Run,On,98.931,1.618,14,434.028,447.049,442.708,455.729,14.517,On,0,4.312,4.237,14,53,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,45,18.810,Inactive,0,0,20.500,26.223,0,0,0,0
30,Park/Neutral,0.500,Off,16.031,14,98,Released,No,Inactive,Inactive,1160,On,14.300,22,44.314,OK,368,00:00:06,1056.750,0,Venting,Not Run,OK,Not Run,On,98.931,1.586,14,442.708,455.729,442.708,455.729,14.493,On,0,3.335,3.350,14,55,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.260,Inactive,0,0,16,25.930,0,0,0,0
31,Park/Neutral,0.500,Off,16.242,14,98,Released,No,Inactive,Inactive,1152,On,14.400,22,44.314,OK,356,00:00:06,1065.500,0,Venting,Not Run,OK,Not Run,On,98.931,1.633,14,438.368,447.049,442.708,455.729,14.517,On,0,3.425,3.410,14,55,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.460,Inactive,0,0,15.500,25.930,0,0,0,0
32,Park/Neutral,0.500,Off,16.062,14,98,Released,No,Inactive,Inactive,1152,On,14.400,22,43.529,OK,360,00:00:07,1063.500,0,Venting,Not Run,OK,Not Run,On,98.931,1.643,14,438.368,451.389,438.368,451.389,14.517,On,0,3.365,3.365,14,55,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,43,18.260,Inactive,0,0,13.500,25.930,0,0,0,0
33,Park/Neutral,0.500,Off,16.258,14,98,Released,No,Inactive,Inactive,1152,On,14.400,22,44.314,OK,360,00:00:07,1062.250,0,Venting,Not Run,OK,Not Run,On,98.931,1.654,14,438.368,447.049,438.368,455.729,14.542,On,0,3.501,3.486,14,55,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.320,Inactive,0,0,17,25.930,0,0,0,0
34,Park/Neutral,0.500,Off,15.977,14,98,Released,No,Inactive,Inactive,1152,On,14.400,22,44.706,OK,368,00:00:07,1055.500,0,Venting,Not Run,OK,Not Run,On,98.931,1.570,14,438.368,451.389,438.368,455.729,14.542,On,0,3.516,3.501,14,55,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,43,18.410,Inactive,0,0,16,25.930,0,0,0,0
35,Park/Neutral,0.500,Off,16.641,14,98,Released,No,Inactive,Inactive,1152,On,14.400,22,44.706,OK,364,00:00:08,1080,0,Venting,Not Run,OK,Not Run,On,98.931,1.597,14,438.368,447.049,442.708,455.729,14.542,On,0,3.546,3.531,14,55,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.750,Inactive,0,0,13,26.066,0,0,0,0
36,Park/Neutral,0.500,Off,16.562,14,98,Released,No,Inactive,Inactive,1144,On,14.400,22,44.706,OK,364,00:00:08,1075.250,0,Venting,Not Run,OK,Not Run,On,98.931,1.625,14,442.708,447.049,438.368,455.729,14.567,On,0,3.531,3.486,14,55,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.670,Inactive,0,0,12.500,26.066,0,0,0,0
37,Park/Neutral,0.500,Off,16.711,14,98,Released,No,Inactive,Inactive,1144,On,14.400,23,45.098,OK,356,00:00:09,1075.750,0,Venting,Not Run,OK,Not Run,On,98.931,1.604,14,438.368,451.389,438.368,455.729,14.567,On,0,3.576,3.576,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.730,Inactive,0,0,13.500,26.066,0,0,0,0
38,Park/Neutral,0.500,Off,16.312,14,98,Released,No,Inactive,Inactive,1144,On,14.400,23,45.098,OK,372,00:00:09,1069.500,0,Venting,Not Run,OK,Not Run,On,98.931,1.604,14,434.028,455.729,442.708,455.729,14.542,On,0,3.546,3.531,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.730,Inactive,0,0,12,26.066,0,0,0,0
39,Park/Neutral,0.500,Off,16.516,14,98,Released,No,Inactive,Inactive,1144,On,14.400,23,45.490,OK,364,00:00:09,1061.500,0,Venting,Not Run,OK,Not Run,On,98.931,1.597,14,434.028,455.729,438.368,455.729,14.567,On,0,3.531,3.501,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.670,Inactive,0,0,15.500,26.066,0,0,0,0
40,Park/Neutral,0.500,Off,16.602,13,98,Released,No,Inactive,Inactive,1136,On,14.300,23,45.098,OK,356,00:00:10,1066.250,0,Venting,Not Run,OK,Not Run,On,98.931,1.597,14,429.688,416.667,434.028,438.368,14.567,On,0,3.501,3.486,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.670,Inactive,0,0,13.500,26.066,0,0,0,0
41,Park/Neutral,0.500,Off,16.578,13,98,Released,No,Inactive,Inactive,1136,On,14.300,23,45.098,OK,348,00:00:10,1073.250,0,Venting,Not Run,OK,Not Run,On,98.931,1.604,14,434.028,421.007,438.368,438.368,14.542,On,0,3.305,3.305,14,55,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.810,Inactive,0,0,11,26.066,0,0,0,0
42,Park/Neutral,0.500,Off,16.750,13,98,Released,No,Inactive,Inactive,1136,On,14.300,23,45.098,OK,368,00:00:11,1060,0,Venting,Not Run,OK,Not Run,On,98.931,1.665,14,429.688,416.667,434.028,438.368,14.542,On,0,3.531,3.501,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,45,18.610,Inactive,0,0,15,26.066,0,0,0,0
43,Park/Neutral,0.500,Off,16.578,13,98,Released,No,Inactive,Inactive,1136,On,14.300,23,45.098,OK,364,00:00:11,1062.250,0,Venting,Not Run,OK,Not Run,On,98.931,1.679,14,425.347,421.007,434.028,438.368,14.567,On,0,3.471,3.456,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.750,Inactive,0,0,12.500,26.066,0,0,0,0
44,Park/Neutral,0.500,Off,16.594,13,98,Released,No,Inactive,Inactive,1136,On,14.300,23,45.098,OK,364,00:00:11,1065.750,0,Venting,Not Run,OK,Not Run,On,98.931,1.645,14,421.007,416.667,434.028,438.368,14.567,On,0,3.425,3.425,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.670,Inactive,0,0,12.500,26.066,0,0,0,0
45,Park/Neutral,0.500,Off,16.133,13,98,Released,No,Inactive,Inactive,1136,On,14.300,23,45.882,OK,364,00:00:12,1041,0,Venting,Not Run,OK,Not Run,On,98.931,1.642,14,412.326,421.007,434.028,438.368,14.567,On,0,3.471,3.471,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.610,Inactive,0,0,15.500,26.066,0,0,0,0
46,Park/Neutral,0.500,Off,16.070,13,98,Released,No,Inactive,Inactive,1136,On,14.300,23,46.275,OK,372,00:00:12,1033.750,0,Venting,Not Run,OK,Not Run,On,98.931,1.660,14,394.965,421.007,425.347,438.368,14.592,On,0,3.441,3.441,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.550,Inactive,0,0,15.500,26.066,0,0,0,0
47,Park/Neutral,0.500,Off,16.430,13,98,Released,No,Inactive,Inactive,1128,On,14.300,23,43.922,OK,364,00:00:13,1076.250,0,Venting,Not Run,OK,Not Run,On,98.931,1.629,14,381.944,416.667,421.007,438.368,14.592,On,0,3.200,3.170,14,55,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.380,Inactive,0,0,10.500,25.930,0,0,0,0
48,Park/Neutral,0.500,Off,16.312,13,98,Released,No,Inactive,Inactive,1128,On,14.300,23,44.706,OK,372,00:00:13,1053.250,0,Venting,Not Run,OK,Not Run,On,98.931,1.606,14,364.583,421.007,416.667,438.368,14.567,On,0,3.365,3.365,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.410,Inactive,0,0,14.500,25.930,0,0,0,0
49,Park/Neutral,0.500,Off,16.109,13,98,Released,No,Inactive,Inactive,1128,On,14.300,23,44.706,OK,368,00:00:13,1046.250,0,Venting,Not Run,OK,Not Run,On,98.931,1.629,14,338.542,416.667,412.326,438.368,14.592,On,0,3.395,3.380,14,55,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.320,Inactive,0,0,15,25.930,0,0,0,0
50,Park/Neutral,0.500,Off,16.172,13,98,Released,No,Inactive,Inactive,1128,On,14.300,23,45.098,OK,368,00:00:14,1053,0,Venting,Not Run,OK,Not Run,On,98.931,1.640,14,312.500,421.007,399.306,438.368,14.567,On,0,3.335,3.335,14,55,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.460,Inactive,0,0,13.500,25.930,0,0,0,0
51,Park/Neutral,0.500,Off,16.266,13,98,Released,No,Inactive,Inactive,1128,On,14.400,23,44.706,OK,364,00:00:14,1053.250,0,Venting,Not Run,OK,Not Run,On,98.931,1.669,14,290.799,416.667,386.285,438.368,14.592,On,0,3.365,3.335,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.410,Inactive,0,0,12.500,25.930,0,0,0,0
52,Park/Neutral,0.500,Off,16.516,13,98,Released,No,Inactive,Inactive,1128,On,14.400,23,44.314,OK,364,00:00:15,1070.750,0,Venting,Not Run,OK,Not Run,On,98.931,1.625,14,264.757,421.007,373.264,438.368,14.592,On,0,3.290,3.275,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.380,Inactive,0,0,12,25.930,0,0,0,0
53,Park/Neutral,0.500,Off,16.164,13,98,Released,No,Inactive,Inactive,1128,On,14.400,23,45.490,OK,368,00:00:15,1036.500,0,Venting,Not Run,OK,Not Run,On,98.931,1.597,14,238.715,421.007,351.562,438.368,14.617,On,0,3.425,3.425,14,54,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.410,Inactive,0,0,14.500,25.930,0,0,0,0
54,Park/Neutral,0.500,Off,16.305,13,98,Released,No,Inactive,Inactive,1128,On,14.400,23,44.314,OK,364,00:00:15,1058,0,Venting,Not Run,OK,Not Run,On,98.931,1.604,14,217.014,416.667,334.201,438.368,14.592,On,0,3.290,3.275,14,55,-17.188,-18.750,Open,OK,OK,Not Run,Off,No,44,18.320,Inactive,0,0,11.500,25.930,0,0,0,0
55,Park/Neutral,0.500,Off,16.406,13,98,Released,No,Inactive,Inactive,1128,On,14.400,23,45.098,OK,372,00:00:16,1058.750,0,Venting,Not Run,OK,Not Run,On,98.931,1.642,14,199.653,421.007,312.500,438.368,14.592,On,0,3.290,3.290,14,54,-17.188,-18.750,Closed,OK,OK,Not Run,Off,No,44,18.520,Inactive,0,0,12.500,25.930,0,0,0,0
56,Park/Neutral,0.500,Off,16.320,13,98,Released,No,Inactive,Inactive,1120,On,14.400,23,44.314,OK,348,00:00:16,1059.500,0,Venting,Not Run,OK,Not Run,On,98.931,1.651,14,182.292,416.667,295.139,442.708,14.592,On,0,3.290,3.290,14,55,-17.188,-18.750,Closed,OK,OK,Not Run,Off,No,44,18.380,Inactive,0,0,13,25.930,0,0,0,0
57,Park/Neutral,0.500,Off,16.250,13,98,Released,No,Inactive,Inactive,1120,On,14.400,23,44.706,OK,364,00:00:17,1051.750,0,Venting,Not Run,OK,Not Run,On,98.931,1.649,14,169.271,421.007,273.438,434.028,14.592,On,0,3.380,3.380,14,54,-17.188,-18.750,Closed,OK,OK,Not Run,Off,No,44,18.380,Inactive,0.781,0.781,11,25.930,0,0,0,0
58,Park/Neutral,0.500,Off,16.188,13,98,Released,No,Inactive,Inactive,1120,On,14.400,23,45.490,OK,356,00:00:17,1045.250,0,Venting,Not Run,OK,Not Run,On,98.931,1.636,14,151.910,416.667,251.736,434.028,14.617,On,0,3.395,3.380,14,54,-17.188,-18.750,Closed,OK,OK,Not Run,Off,No,44,18.460,Inactive,0.781,0.781,12.500,25.930,0,0,0,0
59,Park/Neutral,0.500,Off,16.352,13,98,Released,No,Inactive,Inactive,1112,On,14.400,23,44.706,OK,372,00:00:17,1058,0,Venting,Not Run,OK,Not Run,On,98.931,1.604,14,143.229,421.007,234.375,438.368,14.617,On,0,3.441,3.410,14,54,-17.188,-18.750,Closed,OK,OK,Not Run,Off,No,44,18.320,Inactive,2.344,2.344,11,25.930,0,0,0,0
