Row,AC Monitor,AC Monitor,AC Monitor CMPL,AC Monitor ENA,AC Signal,Air/Fuel Heater Duty (Bank1 Sensor1) [%],Air/Fuel Heater Duty (Bank2 Sensor1) [%],Battery Voltage [V]
34,Not Avl,Compl,Compl,Unable,OFF,39.844,37.500,13.984
35,Not Avl,Compl,Compl,Unable,OFF,39.062,37.500,13.984
36,Not Avl,Compl,Compl,Unable,OFF,38.281,37.500,13.984
37,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
38,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
39,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
40,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
41,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
42,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
43,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
44,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
45,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
46,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
47,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
48,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
49,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
50,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
51,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
52,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
53,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
54,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
55,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
56,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
57,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
58,Not Avl,Compl,Compl,Unable,OFF,37.500,42.969,13.964
59,Not Avl,Compl,Compl,Unable,OFF,43.750,41.406,13.984
60,Not Avl,Compl,Compl,Unable,OFF,42.188,45.312,13.964
61,Not Avl,Compl,Compl,Unable,OFF,40.625,48.438,13.964
62,Not Avl,Compl,Compl,Unable,OFF,39.844,45.312,13.984
63,Not Avl,Compl,Compl,Unable,OFF,39.062,42.969,13.964
64,Not Avl,Compl,Compl,Unable,OFF,44.531,40.625,13.984
65,Not Avl,Compl,Compl,Unable,OFF,42.969,39.844,13.984
66,Not Avl,Compl,Compl,Unable,OFF,41.406,39.062,13.964
67,Not Avl,Compl,Compl,Unable,OFF,39.844,38.281,13.984
68,Not Avl,Compl,Compl,Unable,OFF,39.062,38.281,13.964
69,Not Avl,Compl,Compl,Unable,OFF,38.281,38.281,13.984
70,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
71,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
72,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
73,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
74,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
75,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
76,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
77,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
78,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
79,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
80,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
81,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
82,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
83,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
84,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
85,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
86,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
87,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
88,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
89,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
90,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
91,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
92,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.964
93,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.964
94,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.964
95,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.984
96,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.964
97,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.984
98,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.964
99,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.964
100,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.964
101,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.964
102,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.964
103,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.984
104,Not Avl,Compl,Compl,Unable,ON,43.750,37.500,13.984
105,Not Avl,Compl,Compl,Unable,ON,48.438,37.500,13.964
106,Not Avl,Compl,Compl,Unable,ON,52.344,37.500,13.984
107,Not Avl,Compl,Compl,Unable,ON,57.812,42.969,13.964
108,Not Avl,Compl,Compl,Unable,ON,52.344,41.406,13.964
109,Not Avl,Compl,Compl,Unable,ON,48.438,45.312,13.984
110,Not Avl,Compl,Compl,Unable,ON,45.312,42.969,13.964
111,Not Avl,Compl,Compl,Unable,ON,42.969,41.406,13.964
112,Not Avl,Compl,Compl,Unable,ON,39.844,39.062,13.984
113,Not Avl,Compl,Compl,Unable,ON,39.844,39.062,13.964
114,Not Avl,Compl,Compl,Unable,ON,38.281,37.500,13.964
115,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.984
116,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.964
117,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.964
118,Not Avl,Compl,Compl,Unable,ON,37.500,37.500,13.964
119,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
120,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
121,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
122,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
123,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
124,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
125,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
126,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
127,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
128,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
129,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
130,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
131,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
132,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
133,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
134,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
135,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
136,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
137,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
138,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
139,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
140,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
141,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
142,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
143,Not Avl,Compl,Compl,Unable,OFF,37.500,42.969,13.964
144,Not Avl,Compl,Compl,Unable,OFF,37.500,46.875,13.984
145,Not Avl,Compl,Compl,Unable,OFF,37.500,44.531,13.964
146,Not Avl,Compl,Compl,Unable,OFF,37.500,42.969,13.964
147,Not Avl,Compl,Compl,Unable,OFF,37.500,46.875,13.964
148,Not Avl,Compl,Compl,Unable,OFF,37.500,42.969,13.964
149,Not Avl,Compl,Compl,Unable,OFF,33.594,41.406,13.964
150,Not Avl,Compl,Compl,Unable,OFF,34.375,39.844,13.964
151,Not Avl,Compl,Compl,Unable,OFF,35.156,39.062,13.964
152,Not Avl,Compl,Compl,Unable,OFF,35.938,38.281,13.964
153,Not Avl,Compl,Compl,Unable,OFF,35.938,38.281,13.964
154,Not Avl,Compl,Compl,Unable,OFF,35.938,37.500,13.964
155,Not Avl,Compl,Compl,Unable,OFF,35.938,37.500,13.964
156,Not Avl,Compl,Compl,Unable,OFF,35.938,37.500,13.984
157,Not Avl,Compl,Compl,Unable,OFF,35.938,37.500,13.964
158,Not Avl,Compl,Compl,Unable,OFF,35.938,37.500,13.964
159,Not Avl,Compl,Compl,Unable,OFF,35.938,37.500,13.964
160,Not Avl,Compl,Compl,Unable,OFF,35.938,37.500,13.964
161,Not Avl,Compl,Compl,Unable,OFF,35.938,37.500,13.964
162,Not Avl,Compl,Compl,Unable,OFF,35.938,37.500,13.964
163,Not Avl,Compl,Compl,Unable,OFF,35.938,37.500,13.984
164,Not Avl,Compl,Compl,Unable,OFF,35.938,37.500,13.984
165,Not Avl,Compl,Compl,Unable,OFF,35.938,37.500,13.984
166,Not Avl,Compl,Compl,Unable,OFF,35.938,37.500,13.964
167,Not Avl,Compl,Compl,Unable,OFF,41.406,37.500,13.964
168,Not Avl,Compl,Compl,Unable,OFF,48.438,37.500,13.964
169,Not Avl,Compl,Compl,Unable,OFF,50.781,37.500,13.964
170,Not Avl,Compl,Compl,Unable,OFF,52.344,37.500,13.964
171,Not Avl,Compl,Compl,Unable,OFF,48.438,37.500,13.964
172,Not Avl,Compl,Compl,Unable,OFF,45.312,37.500,13.964
