Row,+BM Voltage [V],Atmosphere Pressure [kPa],Av Engine Speed of All Cyl [rpm],Battery Voltage [V],Calculate Load [%],Coolant Temp [degree C],Engine Speed [rpm],Engine Speed of Cyl Count1 [rpm],Engine Speed of Cyl Count2 [rpm],IGN Advance [deg],Injection Volum (Cylinder1) [ml],Knock Correct Learn Value [degree CA],Short FT (Bank1 Sensor1) [%],Short FT (Bank2 Sensor1) [%]
107,13.700,97,51199.219,13.457,24.314,80,697.500,51199.219,51199.219,15,0.099,21,0,0.781
108,13.715,97,51199.219,13.457,24.314,80,708.500,51199.219,51199.219,15,0.100,21,0,0.781
109,13.711,97,51199.219,13.457,24.314,80,710,51199.219,51199.219,15,0.100,21,0,0.781
110,13.710,97,51199.219,13.476,24.314,80,712.500,51199.219,51199.219,15,0.100,21,0,0.781
111,13.710,96,51199.219,13.457,24.314,80,710,51199.219,51199.219,15,0.100,21,0,0.781
112,13.710,96,51199.219,13.457,24.314,80,711.500,51199.219,51199.219,15,0.100,21,0,0.781
113,13.710,97,51199.219,13.457,24.314,80,707.750,51199.219,51199.219,15,0.100,21,0,0.781
114,13.710,97,51199.219,13.457,23.922,80,702.250,51199.219,51199.219,15,0.100,21,0,0.781
115,13.710,97,51199.219,13.457,24.314,80,706.250,51199.219,51199.219,15,0.100,21,0,0.781
116,13.711,97,51199.219,13.476,24.314,80,707.750,51199.219,51199.219,15,0.100,21,0,0.781
117,13.711,96,51199.219,13.457,24.314,80,710.750,51199.219,51199.219,15,0.100,21,0,0.781
118,13.710,97,51199.219,13.457,24.314,80,709.250,51199.219,51199.219,15,0.100,21,0,0.781
119,13.710,97,51199.219,13.476,24.314,80,709.250,51199.219,51199.219,15,0.100,21,0,0.781
120,13.710,97,51199.219,13.457,24.314,80,711.500,51199.219,51199.219,15,0.100,21,0,0.781
121,13.710,96,51199.219,13.457,24.314,80,706.250,51199.219,51199.219,15,0.100,21,0,0.781
122,13.710,97,51199.219,13.457,23.922,80,702.250,51199.219,51199.219,15,0.100,21,0,0.781
123,13.710,96,51199.219,13.457,24.314,80,698.250,51199.219,51199.219,15,0.100,21,0,0.781
124,13.710,97,51199.219,13.457,24.314,80,697.500,51199.219,51199.219,15,0.100,21,0,0.781
125,13.708,97,51199.219,13.457,24.314,80,703,51199.219,51199.219,15,0.100,21,0,0.781
126,13.710,97,51199.219,13.457,24.314,80,704.500,51199.219,51199.219,15,0.100,21,0,0.781
127,13.710,97,51199.219,13.457,24.314,80,705.250,51199.219,51199.219,15,0.100,21,0,0.781
128,13.707,96,51199.219,13.457,24.314,80,709.250,51199.219,51199.219,15,0.100,21,0,0.781
129,13.710,96,51199.219,13.457,24.314,80,708.500,51199.219,51199.219,15,0.100,21,0,0.781
130,13.710,97,51199.219,13.476,24.314,80,712.500,51199.219,51199.219,15,0.100,21,0,1.562
131,13.710,97,51199.219,13.476,24.314,80,715.500,51199.219,51199.219,15,0.100,21,0,1.562
132,13.711,97,51199.219,13.457,23.922,80,716.250,51199.219,51199.219,15,0.100,21,0,1.562
133,13.711,97,51199.219,13.457,23.922,80,717.750,51199.219,51199.219,15,0.100,21,0,1.562
134,13.711,96,51199.219,13.476,23.922,80,717.750,51199.219,51199.219,15,0.100,21,0,1.562
135,13.713,97,51199.219,13.476,23.922,80,720.250,51199.219,51199.219,15,0.100,21,0,0.781
136,13.710,97,51199.219,13.457,23.922,80,712.500,51199.219,51199.219,15,0.100,21,0,0.781
137,13.710,97,51199.219,13.476,23.922,80,714.750,51199.219,51199.219,15,0.100,21,0,0.781
138,13.712,97,51199.219,13.457,23.922,80,713.250,51199.219,51199.219,15,0.100,21,0,0.781
139,13.706,97,51199.219,13.457,23.922,80,709.250,51199.219,51199.219,15,0.100,21,0,0.781
140,13.710,96,51199.219,13.457,23.922,80,706.250,51199.219,51199.219,15,0.100,21,0,0.781
141,13.696,97,51199.219,13.457,23.922,80,706.250,51199.219,51199.219,15,0.099,21,0,0.781
142,13.711,97,51199.219,13.457,23.922,80,707.750,51199.219,51199.219,15,0.099,21,0,0.781
143,13.711,97,51199.219,13.457,24.314,80,703,51199.219,51199.219,15,0.099,21,0,1.562
144,13.711,97,51199.219,13.457,24.314,80,708.500,51199.219,51199.219,15,0.099,21,0,1.562
145,13.710,97,51199.219,13.457,23.922,80,707.750,51199.219,51199.219,15,0.099,21,0,1.562
146,13.696,96,51199.219,13.457,23.922,80,701.500,51199.219,51199.219,15,0.099,21,0,1.562
147,13.710,96,51199.219,13.457,24.314,80,694.500,51199.219,51199.219,15,0.099,21,0.781,1.562
148,13.710,96,51199.219,13.457,24.314,80,702.250,51199.219,51199.219,15,0.099,21,0.781,0.781
149,13.711,97,51199.219,13.457,24.314,80,700.750,51199.219,51199.219,15,0.099,21,0,1.562
150,13.710,97,51199.219,13.457,24.314,80,703,51199.219,51199.219,15,0.099,21,0.781,1.562
151,13.708,97,51199.219,13.437,24.314,80,694.500,51199.219,51199.219,15,0.099,21,0.781,1.562
152,13.710,96,51199.219,13.457,24.314,80,700,51199.219,51199.219,15,0.099,21,0.781,1.562
153,13.710,97,51199.219,13.457,24.314,80,706.250,51199.219,51199.219,15,0.100,21,0.781,1.562
154,13.710,96,51199.219,13.457,24.314,80,707.750,51199.219,51199.219,15,0.100,21,0.781,1.562
155,13.711,97,51199.219,13.457,24.314,80,711.500,51199.219,51199.219,15,0.100,21,0.781,1.562
156,13.712,97,51199.219,13.457,24.314,80,714.750,51199.219,51199.219,15,0.100,21,0.781,1.562
157,13.711,96,51199.219,13.457,24.314,80,712.500,51199.219,51199.219,15,0.100,21,0.781,1.562
158,13.710,96,51199.219,13.476,24.314,80,715.500,51199.219,51199.219,15,0.100,21,0.781,1.562
159,13.710,96,51199.219,13.457,23.922,80,711.500,51199.219,51199.219,15,0.100,21,0,1.562
160,13.706,97,51199.219,13.457,23.922,80,711.500,51199.219,51199.219,15,0.100,21,0,1.562
161,13.711,97,51199.219,13.476,23.922,80,711.500,51199.219,51199.219,15,0.100,21,0,0.781
162,13.710,97,51199.219,13.457,24.314,80,707.750,51199.219,51199.219,15,0.100,21,0,0.781
163,13.710,96,51199.219,13.457,23.922,80,710.750,51199.219,51199.219,15,0.100,21,0,0.781
164,13.710,96,51199.219,13.457,23.922,80,700.750,51199.219,51199.219,15,0.100,21,0,0.781
165,13.710,96,51199.219,13.476,23.922,80,702.250,51199.219,51199.219,15,0.100,21,0,0.781
166,13.710,97,51199.219,13.457,24.314,80,700.750,51199.219,51199.219,15,0.100,21,0,0.781
167,13.711,97,51199.219,13.457,24.314,80,700.750,51199.219,51199.219,15,0.100,21,0,0.781
168,13.701,97,51199.219,13.457,24.314,80,707,51199.219,51199.219,15,0.100,21,0,0.781
169,13.710,96,51199.219,13.457,23.922,80,707.750,51199.219,51199.219,15,0.100,21,0,0.781
170,13.710,96,51199.219,13.457,23.922,80,706.250,51199.219,51199.219,15,0.100,21,0,0.781
171,13.710,96,51199.219,13.457,24.314,80,696,51199.219,51199.219,15,0.100,21,0,0.781
172,13.710,97,51199.219,13.457,24.314,80,707,51199.219,51199.219,15,0.100,21,0.781,0.781
173,13.711,97,51199.219,13.457,24.314,80,702.250,51199.219,51199.219,15,0.100,21,0.781,0.781
174,13.710,96,51199.219,13.457,24.314,80,706.250,51199.219,51199.219,15,0.100,21,0.781,0.781
175,13.710,96,51199.219,13.457,24.314,80,703,51199.219,51199.219,15,0.100,21,0.781,0.781
176,13.695,96,51199.219,13.457,24.314,80,705.250,51199.219,51199.219,15,0.100,21,0.781,0.781
177,13.710,97,51199.219,13.457,24.314,80,702.250,51199.219,51199.219,15,0.100,21,0,0.781
178,13.711,97,51199.219,13.476,24.314,80,710.750,51199.219,51199.219,15,0.100,21,0,0.781
179,13.705,97,51199.219,13.476,24.314,80,714.750,51199.219,51199.219,15,0.100,21,0,0.781
180,13.719,96,51199.219,13.457,23.922,80,717.750,51199.219,51199.219,15,0.100,21,0.781,0.781
181,13.711,96,51199.219,13.457,23.922,80,717,51199.219,51199.219,15,0.100,21,0,0.781
182,13.704,96,51199.219,13.476,23.922,80,708.500,51199.219,51199.219,15,0.100,21,0,0.781
183,13.710,97,51199.219,13.457,23.922,80,710.750,51199.219,51199.219,15,0.100,21,0,0.781
184,13.710,97,51199.219,13.457,23.922,80,708.500,51199.219,51199.219,15,0.100,21,0,0.781
185,13.710,97,51199.219,13.457,23.922,80,705.250,51199.219,51199.219,15,0.100,21,0,0.781
186,13.710,96,51199.219,13.457,23.922,80,697.500,51199.219,51199.219,15,0.100,21,0,0.781
187,13.711,96,51199.219,13.457,24.314,80,707.750,51199.219,51199.219,15,0.100,21,0,0.781
188,13.711,96,51199.219,13.476,23.922,80,709.250,51199.219,51199.219,15,0.100,21,0,0.781
189,13.711,97,51199.219,13.457,23.922,80,705.250,51199.219,51199.219,15,0.100,21,0,1.562
190,13.710,97,51199.219,13.457,24.314,80,706.250,51199.219,51199.219,15,0.100,21,0,1.562
191,13.710,96,51199.219,13.457,24.314,80,703.750,51199.219,51199.219,15,0.100,21,0,1.562
192,13.711,97,51199.219,13.457,24.314,80,708.500,51199.219,51199.219,15,0.100,21,0,1.562
193,13.726,96,51199.219,13.457,24.314,80,713.250,51199.219,51199.219,15,0.100,21,0,1.562
194,13.711,97,51199.219,13.476,23.922,80,711.500,51199.219,51199.219,15,0.100,21,0,1.562
195,13.711,97,51199.219,13.457,23.922,80,704.500,51199.219,51199.219,15,0.100,21,0,1.562
196,13.711,97,51199.219,13.457,23.922,80,708.500,51199.219,51199.219,15,0.100,21,0,1.562
197,13.711,96,51199.219,13.476,24.314,80,710.750,51199.219,51199.219,15,0.100,21,0,1.562
198,13.711,96,51199.219,13.457,23.922,80,710,51199.219,51199.219,15,0.100,21,0,1.562
199,13.711,96,51199.219,13.457,24.314,80,706.250,51199.219,51199.219,15,0.100,21,0,1.562
200,13.711,97,51199.219,13.476,23.922,80,712.500,51199.219,51199.219,15,0.100,21,0,1.562
201,13.710,97,51199.219,13.457,24.314,80,705.250,51199.219,51199.219,15,0.100,21,0,1.562
202,13.726,97,51199.219,13.457,23.922,80,714,51199.219,51199.219,15,0.100,21,0,1.562
203,13.696,97,51199.219,13.457,23.922,80,708.500,51199.219,51199.219,15,0.100,21,0,1.562
204,13.711,96,51199.219,13.457,23.922,80,699,51199.219,51199.219,15,0.100,21,0,1.562
205,13.710,96,51199.219,13.476,24.314,80,706.250,51199.219,51199.219,15,0.100,21,0,1.562
206,13.710,97,51199.219,13.457,24.314,80,704.500,51199.219,51199.219,15,0.100,21,0,1.562
207,13.711,97,51199.219,13.476,23.922,80,709.250,51199.219,51199.219,15,0.100,21,0,1.562
208,13.711,97,51199.219,13.457,23.922,80,710.750,51199.219,51199.219,15,0.100,21,0,1.562
209,13.728,97,51199.219,13.457,23.922,80,712.500,51199.219,51199.219,15,0.100,21,0,1.562
210,13.710,96,51199.219,13.476,24.314,80,710,51199.219,51199.219,15,0.100,21,0,1.562
211,13.711,96,51199.219,13.457,23.922,80,715.500,51199.219,51199.219,15,0.100,21,0,1.562
212,13.710,97,51199.219,13.457,23.922,80,708.500,51199.219,51199.219,15,0.100,21,0,0.781
213,13.711,97,51199.219,13.476,23.922,80,712.500,51199.219,51199.219,15,0.100,21,0,0.781
214,13.711,97,51199.219,13.457,23.922,80,709.250,51199.219,51199.219,15,0.100,21,0,0.781
215,13.711,97,51199.219,13.457,23.922,80,708.500,51199.219,51199.219,15,0.100,21,0,1.562
216,13.701,96,51199.219,13.457,23.922,80,707.750,51199.219,51199.219,15,0.100,21,0,1.562
217,13.710,97,51199.219,13.457,23.922,80,704.500,51199.219,51199.219,15,0.100,21,0.781,1.562
218,13.724,97,51199.219,13.457,23.922,80,707,51199.219,51199.219,15,0.100,21,0.781,1.562
219,13.710,97,51199.219,13.457,23.922,80,704.500,51199.219,51199.219,15,0.100,21,0.781,1.562
220,13.710,97,51199.219,13.476,24.314,80,706.250,51199.219,51199.219,15,0.100,21,0.781,1.562
221,13.724,96,51199.219,13.457,23.922,80,707,51199.219,51199.219,15,0.100,21,0.781,1.562
222,13.711,96,51199.219,13.476,23.922,80,710,51199.219,51199.219,15,0.100,21,0.781,1.562
223,13.712,97,51199.219,13.457,23.922,80,708.500,51199.219,51199.219,15,0.100,21,0.781,1.562
224,13.711,97,51199.219,13.457,23.922,80,710.750,51199.219,51199.219,15,0.100,21,1.562,1.562
225,13.710,97,51199.219,13.476,23.922,80,709.250,51199.219,51199.219,15,0.100,21,1.562,1.562
226,13.711,97,51199.219,13.476,23.922,80,705.250,51199.219,51199.219,15,0.100,21,1.562,1.562
227,13.721,96,51199.219,13.457,23.922,80,705.250,51199.219,51199.219,15,0.100,21,1.562,1.562
228,13.711,97,51199.219,13.476,24.314,80,710,51199.219,51199.219,15,0.100,21,2.344,1.562
229,13.712,97,51199.219,13.476,24.314,80,711.500,51199.219,51199.219,15,0.100,21,2.344,1.562
230,13.711,97,51199.219,13.457,24.314,80,712.500,51199.219,51199.219,15,0.100,21,2.344,1.562
231,13.711,97,51199.219,13.476,23.922,80,717.750,51199.219,51199.219,15,0.101,21,2.344,1.562
232,13.712,97,51199.219,13.457,23.922,80,717,51199.219,51199.219,15,0.101,21,2.344,1.562
233,13.726,96,51199.219,13.457,23.922,80,719.500,51199.219,51199.219,15,0.101,21,2.344,1.562
234,13.711,97,51199.219,13.476,23.922,80,717.750,51199.219,51199.219,15,0.101,21,2.344,1.562
235,13.712,97,51199.219,13.476,23.922,80,719.500,51199.219,51199.219,15,0.101,21,2.344,1.562
236,13.726,97,51199.219,13.457,23.922,80,709.250,51199.219,51199.219,15,0.101,21,2.344,1.562
237,13.711,97,51199.219,13.476,23.922,80,709.250,51199.219,51199.219,15,0.101,21,2.344,1.562
238,13.711,96,51199.219,13.457,23.922,80,715.500,51199.219,51199.219,15,0.101,21,2.344,1.562
239,13.721,96,51199.219,13.457,23.922,80,717.750,51199.219,51199.219,15,0.101,21,1.562,1.562
240,13.711,97,51199.219,13.476,23.922,80,715.500,51199.219,51199.219,15,0.101,21,1.562,1.562
241,13.711,97,51199.219,13.457,23.922,80,717.750,51199.219,51199.219,15,0.101,21,1.562,1.562
242,13.711,97,51199.219,13.476,23.922,80,723.250,51199.219,51199.219,15,0.101,21,1.562,1.562
243,13.711,97,51199.219,13.457,23.922,80,722.500,51199.219,51199.219,15,0.101,21,1.562,1.562
244,13.719,96,51199.219,13.457,23.922,80,721,51199.219,51199.219,15,0.101,21,1.562,1.562
245,13.712,97,51199.219,13.457,23.922,80,710,51199.219,51199.219,15,0.101,21,1.562,1.562
246,13.711,96,51199.219,13.476,23.922,80,710,51199.219,51199.219,15,0.101,21,1.562,1.562
247,13.719,97,51199.219,13.457,23.922,80,711.500,51199.219,51199.219,15,0.101,21,1.562,1.562
248,13.711,97,51199.219,13.476,23.922,80,709.250,51199.219,51199.219,15,0.101,21,1.562,1.562
249,13.711,97,51199.219,13.457,23.922,80,710.750,51199.219,51199.219,15,0.101,21,1.562,1.562
250,13.713,96,51199.219,13.476,23.922,80,708.500,51199.219,51199.219,15,0.101,21,1.562,1.562
251,13.711,97,51199.219,13.457,23.922,80,709.250,51199.219,51199.219,15,0.101,21,1.562,1.562
252,13.711,97,51199.219,13.476,24.314,80,710.750,51199.219,51199.219,15,0.101,21,1.562,1.562
253,13.711,97,51199.219,13.476,23.922,80,712.500,51199.219,51199.219,15,0.101,21,1.562,1.562
254,13.711,97,51199.219,13.457,23.922,80,708.500,51199.219,51199.219,15,0.101,21,1.562,1.562
255,13.711,96,51199.219,13.476,23.922,80,707.750,51199.219,51199.219,15,0.101,21,1.562,1.562
256,13.719,96,51199.219,13.476,24.314,80,709.250,51199.219,51199.219,15,0.101,21,1.562,1.562
257,13.711,96,51199.219,13.457,24.314,80,711.500,51199.219,51199.219,15,0.101,21,1.562,1.562
258,13.707,97,51199.219,13.457,23.922,80,710.750,51199.219,51199.219,15,0.101,21,1.562,1.562
259,13.711,97,51199.219,13.457,23.922,80,707.750,51199.219,51199.219,15,0.101,21,1.562,1.562
260,13.711,97,51199.219,13.457,23.922,80,714.750,51199.219,51199.219,15,0.101,21,1.562,1.562
261,13.711,96,51199.219,13.476,23.922,80,714,51199.219,51199.219,15,0.101,21,1.562,1.562
262,13.712,97,51199.219,13.476,23.922,80,719.500,51199.219,51199.219,15,0.101,21,1.562,1.562
