filename,date,condition,operating_mode,engine_temp,ambient_temp_f,mileage,dtcs_present,notes
TOYOTA_989347712041_20251103171123_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
TOYOTA_989347712041_20251103171226_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
TOYOTA_989347712041_20251103171753_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
TOYOTA_989347712041_20251103171858_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
TOYOTA_989347712041_20251103171959_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
TOYOTA_989347712041_20251103172117_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
TOYOTA_989347712041_20251103172159_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
TOYOTA_989347712041_20251103172236_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
TOYOTA_989347712041_20251103172406 ac_clean.csv,2025-11-03,healthy_ac_on,idle_ac,warm,,,,"AC load test"
TOYOTA_989347712041_20251103173020_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst - last"
TOYOTA_989347712041_20251107210603_clean.csv,2025-11-07,unknown,unknown,unknown,,,,"Nov 7 session"
TOYOTA_989347712041_20251107210711_clean.csv,2025-11-07,unknown,unknown,unknown,,,,"Nov 7 session"
TOYOTA_989347712041_20251109121129_clean.csv,2025-11-09,unknown,unknown,unknown,,,,"Nov 9 session"
TOYOTA_989347712041_20251109130103_clean.csv,2025-11-09,unknown,unknown,unknown,,,,"Nov 9 session"
TOYOTA_989347712041_20251109132018_clean.csv,2025-11-09,unknown,unknown,unknown,,,,"Nov 9 session"
TOYOTA_989347712041_20251109134241_clean.csv,2025-11-09,unknown,unknown,unknown,,,,"Nov 9 session"
TOYOTA_989347712041_20251124220315_clean.csv,2025-11-24,unknown,unknown,unknown,,,,"Nov 24 session"
TOYOTA_989347712041_20251124225845_clean.csv,2025-11-24,unknown,unknown,unknown,,,,"Nov 24 session"
TOYOTA_989347712041_20251127120140_clean.csv,2025-11-27,unknown,unknown,unknown,,,,"Nov 27 session - 6 scans"
TOYOTA_989347712041_20251127121151_clean.csv,2025-11-27,unknown,unknown,unknown,,,,"Nov 27 session"
TOYOTA_989347712041_20251127121913_clean.csv,2025-11-27,unknown,unknown,unknown,,,,"Nov 27 session"
TOYOTA_989347712041_20251127122721_clean.csv,2025-11-27,unknown,unknown,unknown,,,,"Nov 27 session"
TOYOTA_989347712041_20251127122922_clean.csv,2025-11-27,unknown,unknown,unknown,,,,"Nov 27 session"
TOYOTA_989347712041_20251127123053_clean.csv,2025-11-27,unknown,unknown,unknown,,,,"Nov 27 session"
TOYOTA_989347712041_20251201175704_clean.csv,2025-12-01,unknown,unknown,unknown,,,,"Dec 1 session - 12 scans"
TOYOTA_989347712041_20251201175840_clean.csv,2025-12-01,unknown,unknown,unknown,,,,"Dec 1 session"
TOYOTA_989347712041_20251201180024_clean.csv,2025-12-01,unknown,unknown,unknown,,,,"Dec 1 session"
TOYOTA_989347712041_20251201180351_clean.csv,2025-12-01,unknown,unknown,unknown,,,,"Dec 1 session"
TOYOTA_989347712041_20251201180609_clean.csv,2025-12-01,unknown,unknown,unknown,,,,"Dec 1 session"
TOYOTA_989347712041_20251201181151_clean.csv,2025-12-01,unknown,unknown,unknown,,,,"Dec 1 session"
TOYOTA_989347712041_20251201181703_clean.csv,2025-12-01,unknown,unknown,unknown,,,,"Dec 1 session"
TOYOTA_989347712041_20251201202950_clean.csv,2025-12-01,unknown,unknown,unknown,,,,"Dec 1 evening session"
TOYOTA_989347712041_20251201203442_clean.csv,2025-12-01,unknown,unknown,unknown,,,,"Dec 1 evening"
TOYOTA_989347712041_20251201203733_clean.csv,2025-12-01,unknown,unknown,unknown,,,,"Dec 1 evening"
TOYOTA_989347712041_20251201204111_clean.csv,2025-12-01,unknown,unknown,unknown,,,,"Dec 1 evening"
TOYOTA_989347712041_20251201204423_clean.csv,2025-12-01,unknown,unknown,unknown,,,,"Dec 1 evening"
TOYOTA_989347712041_20251209204039_clean.csv,2025-12-09,unknown,unknown,unknown,,,,"Dec 9 session"
TOYOTA_989347712041_20251209204833_clean.csv,2025-12-09,unknown,unknown,unknown,,,,"Dec 9 session"
TOYOTA_989347712041_20251209205834_clean.csv,2025-12-09,unknown,unknown,unknown,,,,"Dec 9 session"
TOYOTA_989347712041_20251220140902_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session - 16 scans"
TOYOTA_989347712041_20251220141425_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220141620_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220142351_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220142516_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220144214_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220144432_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220145136_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220150002_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220150324_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220150445_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220150600_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220151416_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220151608_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220151817_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220151908_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251220152236_clean.csv,2025-12-20,unknown,unknown,unknown,,,,"Dec 20 session"
TOYOTA_989347712041_20251223194633_clean.csv,2025-12-23,unknown,unknown,unknown,,,,"Dec 23 session"
TOYOTA_989347712041_20251223200536_clean.csv,2025-12-23,unknown,unknown,unknown,,,,"Dec 23 session"
TOYOTA_989347712041_20251223213800_clean.csv,2025-12-23,unknown,unknown,unknown,,,,"Dec 23 session"
TOYOTA_989347712041_20251223214108_clean.csv,2025-12-23,unknown,unknown,unknown,,,,"Dec 23 session"
TOYOTA_989347712041_20251223214348_clean.csv,2025-12-23,unknown,unknown,unknown,,,,"Dec 23 session"
TOYOTA_989347712041_20251223214655_clean.csv,2025-12-23,unknown,unknown,unknown,,,,"Dec 23 session"
TOYOTA_989347712041_20251223214826_clean.csv,2025-12-23,unknown,unknown,unknown,,,,"Dec 23 session"
TOYOTA_989347712041_20251223215016_clean.csv,2025-12-23,unknown,unknown,unknown,,,,"Dec 23 session"
TOYOTA_989347712041_20251223215318_clean.csv,2025-12-23,unknown,unknown,unknown,,,,"Dec 23 session"
TOYOTA_989347712041_20251223215716_clean.csv,2025-12-23,unknown,unknown,unknown,,,,"Dec 23 session"
TOYOTA_989347712041_20251223215909_clean.csv,2025-12-23,unknown,unknown,unknown,,,,"Dec 23 session"
TOYOTA_989347712041_20251224000329_clean.csv,2025-12-24,unknown,unknown,unknown,,,,"Dec 24 session"
TOYOTA_989347712041_20251224000438_clean.csv,2025-12-24,unknown,unknown,unknown,,,,"Dec 24 session"
TOYOTA_989347712041_20251224000952_clean.csv,2025-12-24,unknown,unknown,unknown,,,,"Dec 24 session"
TOYOTA_989347712041_20251224003155_clean.csv,2025-12-24,unknown,unknown,unknown,,,,"Dec 24 session"
TOYOTA_989347712041_20251224003315_clean.csv,2025-12-24,unknown,unknown,unknown,,,,"Dec 24 session"
TOYOTA_989347712041_20260107134236_clean.csv,2026-01-07,unknown,unknown,unknown,,,,"Jan 7 session"
TOYOTA_989347712041_20260107134353 startup_clean.csv,2026-01-07,healthy,cold_start,cold,,,,"Startup capture - COLD START"
TOYOTA_989347712041_20260107141744_clean.csv,2026-01-07,unknown,unknown,unknown,,,,"Jan 7 session"
TOYOTA_989347712041_20260107141822_clean.csv,2026-01-07,unknown,unknown,unknown,,,,"Jan 7 session"
TOYOTA_989347712041_20260107143707_clean.csv,2026-01-07,unknown,unknown,unknown,,,,"Jan 7 session"
TOYOTA_989347712041_20260120104832_clean.csv,2026-01-20,unknown,unknown,unknown,,,,"Jan 20 session"
TOYOTA_989347712041_20260120104845_clean.csv,2026-01-20,unknown,unknown,unknown,,,,"Jan 20 session"
TOYOTA_989347712041_20260120112037_clean.csv,2026-01-20,unknown,unknown,unknown,,,,"Jan 20 session"
TOYOTA_989347712041_20260120113343_clean.csv,2026-01-20,unknown,unknown,unknown,,,,"Jan 20 session"
TOYOTA_989347712041_20260120115005_clean.csv,2026-01-20,unknown,unknown,unknown,,,,"Jan 20 session"
TOYOTA_989347712041_20260120121656_clean.csv,2026-01-20,unknown,unknown,unknown,,,,"Jan 20 session"
TOYOTA_989347712041_20260120122929_clean.csv,2026-01-20,unknown,unknown,unknown,,,,"Jan 20 session"
TOYOTA_989347712041_20260120125129_clean.csv,2026-01-20,unknown,unknown,unknown,,,,"Jan 20 session"
TOYOTA_989347712041_20260126135122_clean.csv,2026-01-26,unknown,unknown,unknown,,,,"Jan 26 session"
TOYOTA_989347712041_20260126135141_clean.csv,2026-01-26,unknown,unknown,unknown,,,,"Jan 26 session"
TOYOTA_989347712041_20260126145617_clean.csv,2026-01-26,unknown,unknown,unknown,,,,"Jan 26 session - latest capture"
