Row,5 Volt Reference 1 [V],5 Volt Reference 2 [V],Accelerator Pedal Position (APP) Indicated Angle [%],Barometric Pressure (BARO) [kPa],Camshaft Position (CMP) Active Counter [counts],Camshaft Position (CMP) Sensor [rpm],Crankshaft Position (CKP) Active Counter [counts],Crankshaft Position (CKP) Resync Counter [counts],Crankshaft Position (CKP) Sensor [rpm],Engine Coolant Temperature (ECT) Sensor [degree C],Engine Load [%],Engine Run Time,Engine Speed [rpm],Ignition 1 Signal [V],Intake Air Temperature (IAT) Sensor [degree C],Knock Detected Cylinder 1,Knock Detected Cylinder 2,Knock Detected Cylinder 3,Knock Detected Cylinder 4,Knock Detected Cylinder 5,Knock Detected Cylinder 6,Knock Detected Cylinder 7,Knock Detected Cylinder 8,Knock Retard [deg],Malfunction Indicator Lamp (MIL) Requested By DTC,Manifold Absolute Pressure (MAP) Sensor [kPa],Mass Air Flow (MAF) Sensor [g/s],Spark [deg],Throttle Position (TP) Indicated Angle [%],Torque Management Spark Retard [deg],Total Knock Retard [deg],Vehicle Speed Sensor [km/h]
20,5.043,5.043,8.176,98,193,1097,220,0,1094,77,45.490,00:02:35,1107.250,13.945,25,No,No,No,No,No,No,No,No,0,Yes,47,17.860,31.500,25.637,0,0,21
21,5.043,5.043,9.211,98,215,1156,112,0,1159,77,42.353,00:02:36,1155.750,13.945,25,No,No,No,No,No,No,No,No,0,Yes,47,19.110,32,25.930,0,0,22
22,5.043,5.065,4.602,98,238,1141,13,0,1139,77,32.157,00:02:36,1131,13.895,25,No,No,No,No,No,No,No,No,0,Yes,42,14.720,35.500,23.508,0,0,22
23,5.043,5.065,4.758,98,4,1034,119,0,1028,77,35.686,00:02:37,1025,13.895,25,No,No,No,No,No,No,No,No,0,Yes,40,13.390,37,23.234,0,0,22
24,5.043,5.043,4.934,98,24,1052,210,0,1044,77,33.725,00:02:38,1050.750,13.820,25,No,No,No,No,No,No,No,No,0,Yes,40,14.060,36.500,23.371,0,0,22
25,5.043,5.043,6.477,98,45,1040,47,0,1048,77,37.647,00:02:38,1046.250,13.870,25,No,No,No,No,No,No,No,No,0,Yes,40,14.540,36,24.230,0,0,22
26,5.043,5.065,7.316,98,67,1106,161,0,1112,78,40.392,00:02:39,1111.750,13.895,24,No,No,No,No,No,No,No,No,0,Yes,44,17.290,33.500,25.227,0,0,22
27,5.043,5.065,8.176,98,90,1145,47,0,1143,78,41.961,00:02:39,1149.750,13.895,24,No,No,No,No,No,No,No,No,0,Yes,45,18.410,32.500,25.793,0,0,23
28,5.043,5.065,7.980,98,113,1164,209,0,1164,78,41.569,00:02:40,1164.750,13.845,24,No,No,No,No,No,No,No,No,0,Yes,46,18.580,32.500,25.793,0,0,22
29,5.043,5.065,6.789,98,135,1092,97,0,1096,78,34.902,00:02:41,1091.750,13.845,24,No,No,No,No,No,No,No,No,0,Yes,41,15.970,35.500,24.230,0,0,22
30,5.043,5.043,6.809,98,157,1103,222,0,1105,78,38.824,00:02:41,1103,13.845,24,No,No,No,No,No,No,No,No,0,Yes,43,16.210,34.500,24.797,0,0,22
31,5.043,5.065,6.125,98,179,1096,89,0,1098,78,35.686,00:02:42,1092.250,13.845,24,No,No,No,No,No,No,No,No,0,Yes,42,15.120,35,24.074,0,0,22
32,5.043,5.065,5.266,98,201,1057,201,0,1057,78,34.902,00:02:42,1056.750,13.820,24,No,No,No,No,No,No,No,No,0,Yes,41,15.010,35.500,23.664,0,0,21
33,5.043,5.065,4.934,98,222,1047,41,0,1050,78,34.510,00:02:43,1047.250,13.820,24,No,No,No,No,No,No,No,No,0,Yes,40,13.570,36.500,23.098,0,0,21
34,5.043,5.065,0.852,98,242,1005,126,0,1006,79,27.451,00:02:44,998.750,13.820,24,No,No,No,No,No,No,No,No,0,Yes,36,10.250,40.500,20.949,0,0,21
35,5.043,5.065,0.500,98,5,946,166,0,952,79,29.020,00:02:44,951,13.820,24,No,No,No,No,No,No,No,No,0,Yes,35,10.570,29.500,21.105,0,0,21
36,5.043,5.065,0.500,98,24,924,194,0,900,79,25.490,00:02:45,905,13.746,24,No,No,No,No,No,No,No,No,0,Yes,33,9.290,27,20.109,0,0,20
37,5.043,5.043,0.500,98,42,871,198,0,878,79,21.569,00:02:45,872,13.820,24,No,No,No,No,No,No,No,No,0,Yes,30,7.430,28.500,18.820,0,0,20
38,5.043,5.065,0.500,98,59,851,181,0,853,79,22.353,00:02:46,848.750,13.720,24,No,No,No,No,No,No,No,No,0,Yes,29,7.500,28,18.684,0,0,20
39,5.043,5.065,0.500,98,75,820,152,0,823,79,22.353,00:02:47,826.750,13.746,24,No,No,No,No,No,No,No,No,0,Yes,29,7.090,28,18.391,0,0,20
40,5.043,5.043,0.500,98,92,831,120,0,836,79,22.745,00:02:47,829.500,13.746,24,No,No,No,No,No,No,No,No,0,Yes,29,6.990,28.500,18.391,0,0,21
41,5.043,5.043,0.500,98,108,783,77,0,787,80,21.961,00:02:48,783.250,13.746,24,No,No,No,No,No,No,No,No,0,Yes,29,7.270,26.500,18.391,0,0,22
42,5.043,5.065,0.500,98,124,786,21,0,788,80,20.784,00:02:48,784.750,13.670,24,No,No,No,No,No,No,No,No,0,Yes,29,7.330,27,18.391,0,0,23
43,5.043,5.043,0.500,98,140,785,222,0,787,80,21.176,00:02:49,784.750,13.746,24,No,No,No,No,No,No,No,No,0,Yes,30,7.370,27,18.391,0,0,23
44,5.043,5.065,0.500,98,156,806,169,0,807,80,21.569,00:02:50,810.750,13.746,24,No,No,No,No,No,No,No,No,0,Yes,29,7.440,28,18.391,0,0,24
45,5.043,5.043,13.938,98,173,1042,168,0,1085,80,54.118,00:02:50,1123.250,13.720,24,No,No,No,No,No,No,No,No,0,Yes,46,21.940,30,27.629,0,0,23
46,5.043,5.043,14.992,98,198,1332,128,0,1330,80,58.039,00:02:51,1337.500,13.746,24,No,No,No,No,No,No,No,No,0,Yes,59,31.420,27.500,31.047,0,0,23
47,5.043,5.043,15.988,98,226,1432,171,0,1434,80,61.569,00:02:51,1439.500,13.746,24,No,No,No,No,No,No,No,No,0,Yes,63,34.400,27,31.906,0,0,24
48,5.043,5.043,17.160,98,255,1470,249,0,1469,80,66.275,00:02:52,1480.750,13.720,24,No,No,No,No,No,No,No,No,0,Yes,66,39.070,26.500,33.176,0,0,24
49,5.043,5.043,14.250,98,28,1383,61,0,1384,80,54.118,00:02:53,1383.250,13.720,24,No,No,Yes,No,No,No,No,No,0.615,Yes,60,31.250,27.500,30.480,0,0.527,23
50,5.043,5.065,13.234,98,55,1333,84,0,1333,80,54.510,00:02:53,1328.500,13.770,24,No,No,Yes,No,No,No,No,No,0.352,Yes,58,27.480,28,29.484,0,0.352,22
51,5.043,5.043,8.996,98,82,1284,81,0,1282,80,43.137,00:02:54,1269,13.746,24,No,No,No,No,No,No,No,No,0.088,Yes,52,21.750,30.500,27.199,0,0,21
52,5.043,5.043,1.203,98,106,1118,1,0,1105,80,28.627,00:02:54,1100.250,13.720,24,No,No,No,No,No,No,No,No,0,Yes,41,13.080,37,22.512,0,0,20
53,5.043,5.043,0.500,98,126,975,82,0,966,81,30.588,00:02:55,965,13.770,24,No,No,No,No,No,No,No,No,0,Yes,37,11.250,27,21.809,0,0,20
54,5.043,5.065,0.500,98,145,910,113,0,913,81,32.157,00:02:56,909.500,13.746,24,No,No,No,No,No,No,No,No,0,Yes,38,11.560,19.500,21.809,0,0,19
55,5.043,5.043,0.500,98,163,889,122,0,886,81,32.941,00:02:56,882.500,13.720,24,No,No,No,No,No,No,No,No,0,Yes,38,10.420,21,20.812,0,0,18
56,5.043,5.043,0.500,98,180,873,119,0,878,81,31.765,00:02:57,874,13.746,24,No,No,No,No,No,No,No,No,0,Yes,37,10.530,21.500,21.105,0,0,18
57,5.043,5.065,0.500,98,197,788,94,0,790,81,29.412,00:02:57,792.500,13.696,24,No,No,No,No,No,No,No,No,0,Yes,36,8.940,24,20.109,0,0,17
58,5.043,5.043,0.500,98,213,759,38,0,762,81,23.529,00:02:58,763,13.770,24,No,No,No,No,No,No,No,No,0,Yes,34,7.850,24.500,18.957,0,0,17
59,5.043,5.043,0.500,98,228,732,217,0,699,81,21.569,00:02:59,695.750,13.720,24,No,No,No,No,No,No,No,No,0,Yes,32,6.990,19.500,18.117,0,0,17
60,5.043,5.065,0.500,98,242,725,123,0,721,81,21.569,00:02:59,717.500,13.696,24,No,No,No,No,No,No,No,No,0,Yes,32,6.800,21,18.117,0,0,16
61,5.043,5.065,0.500,98,0,684,4,0,671,81,21.569,00:03:00,672.500,13.720,24,No,No,No,No,No,No,No,No,0,Yes,32,6.790,17.500,18.117,0,0,15
62,5.043,5.065,0.500,98,13,647,130,0,643,81,21.961,00:03:00,646,13.746,24,No,No,No,No,No,No,No,No,0,Yes,33,6.620,17.500,18.117,0,0,16
63,5.043,5.043,0.500,98,26,648,8,0,640,81,21.569,00:03:01,642,13.696,24,No,No,No,No,No,No,No,No,0,Yes,33,6.980,16.500,18.117,0,0,15
64,5.043,5.043,0.500,98,39,664,130,0,662,81,22.353,00:03:02,654,13.720,24,No,No,No,No,No,No,No,No,0,Yes,33,6.740,16.500,18.117,0,0,15
65,5.043,5.065,0.500,98,52,643,252,0,630,81,21.961,00:03:02,629.250,13.670,24,No,No,No,No,No,No,No,No,0,Yes,34,6.250,16,18.117,0,0,14
66,5.043,5.043,0.500,98,65,624,98,0,620,81,21.569,00:03:03,624,13.746,24,No,No,No,No,No,No,No,No,0,Yes,35,6.760,16.500,18.117,0,0,13
67,5.043,5.043,0.500,98,77,614,194,0,626,81,22.353,00:03:03,622.250,13.746,24,No,No,No,No,No,No,No,No,0,Yes,36,6.550,16,18.117,0,0,14
68,5.043,5.065,0.500,98,89,609,43,0,607,82,21.176,00:03:04,606.250,13.770,24,No,No,No,No,No,No,No,No,0,Yes,35,6.870,16,18.117,0,0,13
69,5.043,5.065,0.500,98,101,600,131,0,595,82,22.353,00:03:05,605.750,13.770,24,No,No,No,No,No,No,No,No,0,Yes,36,6.740,16,18.117,0,0,12
70,5.043,5.065,0.500,98,113,570,218,0,574,82,21.569,00:03:05,571.750,13.696,24,No,No,No,No,No,No,No,No,0,Yes,37,6.500,17.500,18.117,0,0,11
71,5.043,5.043,0.500,98,124,546,28,0,520,82,21.569,00:03:06,528.500,13.621,24,No,No,No,No,No,No,No,No,0,Yes,38,6.530,19.500,18.117,0,0,10
72,5.043,5.065,0.500,98,135,568,92,0,570,82,22.353,00:03:06,563.750,13.720,24,No,No,No,No,No,No,No,No,0,Yes,39,6.990,16.500,18.254,0,0,8
73,5.043,5.043,0.500,98,147,641,186,0,631,82,21.569,00:03:07,614.750,13.746,24,No,No,No,No,No,No,No,No,0,Yes,38,7.100,13,18.254,0,0,7
74,5.043,5.043,0.500,98,160,620,32,0,603,82,21.961,00:03:08,589.500,13.720,24,No,No,No,No,No,No,No,No,0,Yes,37,6.590,13,18.117,0,0,6
75,5.043,5.065,0.500,98,172,616,123,0,607,82,21.569,00:03:08,600,13.746,24,No,No,No,No,No,No,No,No,0,Yes,37,6.780,13.500,18.117,0,0,7
76,5.043,5.065,0.500,98,184,603,218,0,583,82,21.569,00:03:09,588,13.770,24,No,No,No,No,No,No,No,No,0,Yes,36,6.780,15,18.117,0,0,7
77,5.043,5.065,0.500,98,196,612,58,0,580,82,21.961,00:03:09,580.250,13.746,24,No,No,No,No,No,No,No,No,0,Yes,36,6.550,14,18.117,0,0,6
78,5.043,5.043,0.500,98,208,583,142,0,565,82,21.961,00:03:10,566,13.795,24,No,No,No,No,No,No,No,No,0,Yes,37,6.590,15.500,18.117,0,0,6
79,5.043,5.065,0.500,98,219,579,219,0,583,83,21.961,00:03:11,580.250,13.770,24,No,No,No,No,No,No,No,No,0,Yes,38,6.670,16,18.117,0,0,6
80,5.043,5.065,0.500,98,231,577,43,0,587,83,21.961,00:03:11,579.750,13.720,24,No,No,No,No,No,No,No,No,0,Yes,37,6.530,15.500,18.117,0,0,5
81,5.043,5.065,0.500,98,242,563,109,0,555,83,21.961,00:03:12,560.750,13.795,24,No,No,No,No,No,No,No,No,0,Yes,38,6.620,16.500,18.117,0,0,4
82,5.043,5.043,0.500,98,253,532,170,0,514,83,21.961,00:03:12,517.750,13.596,24,No,No,No,No,No,No,No,No,0,Yes,39,6.760,20,18.117,0,0,3
83,5.043,5.043,0.500,98,7,545,221,0,545,83,22.353,00:03:13,540,13.795,24,No,No,No,No,No,No,No,No,0,Yes,40,6.890,17.500,18.391,0,0,2
84,5.043,5.065,0.500,98,18,562,34,0,568,83,22.745,00:03:14,567.500,13.795,24,No,No,No,No,No,No,No,No,0,Yes,40,6.810,17,18.117,0,0,0
85,5.043,5.065,0.500,98,29,538,97,0,553,83,21.961,00:03:14,553,13.795,24,No,No,No,No,No,No,No,No,0,Yes,40,6.740,17.500,18.117,0,0,0
86,5.043,5.065,0.500,98,41,557,168,0,536,83,21.961,00:03:15,543.250,13.895,24,No,No,No,No,No,No,No,No,0,Yes,39,6.720,17,18.117,0,0,0
87,5.043,5.065,9.523,98,52,580,237,0,579,83,22.353,00:03:15,575.250,13.845,24,No,No,No,No,No,No,No,No,0,Yes,40,7.790,12,20.383,0,0,0
88,5.043,5.065,18.664,98,67,997,155,0,1026,83,61.961,00:03:16,1051.250,13.870,24,No,No,No,No,No,No,No,No,0,Yes,60,23.450,15.500,28.352,0,0,0
89,5.043,5.065,12.434,98,91,1200,85,0,1190,83,41.569,00:03:17,1185,13.870,24,No,No,No,No,No,No,No,No,0,Yes,49,19.270,27.500,25.930,0,0,4
90,5.043,5.043,0.500,98,113,1059,211,0,1055,83,30.196,00:03:17,1045.500,13.845,24,No,No,No,No,No,No,No,No,0,Yes,43,11.980,34,21.809,0,0,7
91,5.043,5.043,0.500,98,130,801,210,0,791,83,34.902,00:03:18,798,13.820,24,No,No,No,No,No,No,No,No,0,Yes,41,11.290,21.500,21.379,0,0,8
92,5.043,5.065,0.500,98,145,696,132,0,696,83,35.686,00:03:18,698.750,13.746,24,No,No,No,No,No,No,No,No,0,Yes,44,11.280,13,21.379,0,0,5
93,5.043,5.065,0.500,98,160,786,45,0,789,83,35.294,00:03:19,802,13.820,24,No,No,No,No,No,No,No,No,0,Yes,45,11.110,14,21.516,0,0,2
94,5.043,5.065,0.500,98,176,762,1,0,755,83,23.137,00:03:20,748.500,13.795,24,No,No,No,No,No,No,No,No,0,Yes,39,8.790,12,19.953,0,0,0
95,5.043,5.065,0.500,98,190,596,132,0,598,83,25.098,00:03:20,594.500,13.820,24,No,No,No,No,No,No,No,No,0,Yes,38,7.590,11.500,18.820,0,0,0
96,5.043,5.065,0.500,98,201,577,215,0,573,84,22.353,00:03:21,581.500,13.845,24,No,No,No,No,No,No,No,No,0,Yes,38,6.860,11.500,18.254,0,0,0
97,5.043,5.065,0.500,98,213,566,36,0,557,84,21.569,00:03:21,562.250,13.795,24,No,No,No,No,No,No,No,No,0,Yes,38,6.510,14,17.980,0,0,0
98,5.043,5.065,0.500,98,224,551,103,0,550,84,20,00:03:22,543,13.795,24,No,No,No,No,No,No,No,No,0,Yes,37,6.060,15.500,17.395,0,0,0
99,5.043,5.043,0.500,98,235,537,162,0,532,84,19.608,00:03:23,534,13.820,24,No,No,No,No,No,No,No,No,0,Yes,37,6.020,17.500,17.395,0,0,0
100,5.043,5.065,0.500,98,245,524,214,0,532,84,19.608,00:03:23,531.250,13.746,24,No,No,No,No,No,No,No,No,0,Yes,37,5.940,18.500,17.395,0,0,0
101,5.043,5.043,0.500,98,0,518,1,0,487,84,19.216,00:03:24,493.250,13.696,24,No,No,No,No,No,No,No,No,0,Yes,38,5.890,19,17.395,0,0,0
102,5.043,5.065,0.500,98,10,531,52,0,526,84,19.216,00:03:24,533.500,13.746,24,No,No,No,No,No,No,No,No,0,Yes,37,5.910,18,17.258,0,0,0
103,5.043,5.065,0.500,98,20,497,92,0,499,84,19.216,00:03:25,500,13.646,24,No,No,No,No,No,No,No,No,0,Yes,38,5.850,19.500,17.258,0,0,0
104,5.043,5.043,0.500,98,31,520,138,0,530,84,19.608,00:03:26,527.250,13.696,24,No,No,No,No,No,No,No,No,0,Yes,38,5.870,18.500,17.258,0,0,0
105,5.043,5.065,0.500,98,41,498,179,0,500,84,18.824,00:03:26,499,13.696,24,No,No,No,No,No,No,No,No,0,Yes,38,5.890,19,17.258,0,0,0
106,5.043,5.043,0.500,98,51,525,215,0,525,84,19.608,00:03:27,517.500,13.746,24,No,No,No,No,No,No,No,No,0,Yes,39,5.970,18,17.258,0,0,0
107,5.043,5.065,0.500,98,61,450,244,0,461,84,20,00:03:27,457.250,13.521,24,No,No,No,No,No,No,No,No,0,Yes,40,6.270,27.500,17.980,0,0,0
108,5.043,5.065,0.500,98,71,563,24,0,571,84,21.569,00:03:28,568.750,13.746,24,No,No,No,No,No,No,No,No,0,Yes,41,6.580,15,17.980,0,0,0
109,5.043,5.065,0.500,98,82,535,78,0,545,84,21.961,00:03:29,554.750,13.820,24,No,No,No,No,No,No,No,No,0,Yes,40,6.570,16.500,18.117,0,0,0
110,5.043,5.065,0.500,98,93,535,141,0,516,84,20.784,00:03:29,528,13.845,24,No,No,No,No,No,No,No,No,0,Yes,39,6.250,18.500,17.688,0,0,0
111,5.043,5.065,0.500,98,103,528,193,0,515,84,20.392,00:03:30,511,13.845,24,No,No,No,No,No,No,No,No,0,Yes,39,6.250,18.500,17.688,0,0,0
112,5.043,5.065,0.500,98,114,544,250,0,549,84,19.608,00:03:30,546.750,13.870,24,No,No,No,No,No,No,No,No,0,Yes,38,5.950,16.500,17.258,0,0,0
113,5.043,5.043,0.500,98,125,514,39,0,521,84,19.608,00:03:31,519.250,13.746,24,No,No,No,No,No,No,No,No,0,Yes,38,5.890,18.500,17.258,0,0,0
114,5.043,5.065,0.500,98,135,514,82,0,522,84,19.608,00:03:32,516.500,13.746,24,No,No,No,No,No,No,No,No,0,Yes,38,5.910,18.500,17.258,0,0,0
115,5.043,5.065,0.500,98,145,501,117,0,507,84,19.608,00:03:32,506,13.770,24,No,No,No,No,No,No,No,No,0,Yes,39,5.920,19,17.258,0,0,0
116,5.043,5.043,0.500,98,155,512,156,0,509,84,20,00:03:33,508.250,13.795,25,No,No,No,No,No,No,No,No,0,Yes,39,5.970,18.500,17.258,0,0,0
117,5.043,5.065,0.500,98,165,540,201,0,547,84,19.216,00:03:33,546,13.795,25,No,No,No,No,No,No,No,No,0,Yes,38,5.930,17.500,17.258,0,0,0
118,5.043,5.065,0.500,98,176,514,244,0,516,84,19.608,00:03:34,519.250,13.845,25,No,No,No,No,No,No,No,No,0,Yes,38,5.960,18.500,17.395,0,0,0
119,5.043,5.065,0.500,98,186,536,34,0,541,84,20,00:03:35,541.250,13.820,25,No,No,No,No,No,No,No,No,0,Yes,38,6.060,17.500,17.395,0,0,0
120,5.043,5.065,0.500,98,197,541,93,0,547,84,20,00:03:35,545,13.746,25,No,No,No,No,No,No,No,No,0,Yes,38,6.050,17.500,17.395,0,0,0
121,5.043,5.065,0.500,98,208,520,142,0,535,85,20,00:03:36,531.750,13.746,25,No,No,No,No,No,No,No,No,0,Yes,38,6.010,18.500,17.395,0,0,0
122,5.043,5.065,0.500,98,218,518,190,0,525,85,20,00:03:36,522.500,13.746,25,No,No,No,No,No,No,No,No,0,Yes,39,6.110,18.500,17.395,0,0,0
123,5.043,5.043,0.500,98,229,539,247,0,514,85,20,00:03:37,521.500,13.770,25,No,No,No,No,No,No,No,No,0,Yes,40,6.100,17.500,17.395,0,0,0
124,5.043,5.043,14.934,98,241,810,83,0,864,85,52.941,00:03:38,874.250,13.820,25,No,No,No,No,No,No,No,No,0,Yes,55,17.050,18.500,25.227,0,1.230,0
125,5.043,5.065,14.113,98,6,1113,188,0,1106,85,44.314,00:03:38,1108.250,13.820,25,No,No,No,No,No,No,No,No,0,Yes,50,18.900,26,25.930,0,0,2
126,5.043,5.065,11.047,98,28,1059,53,0,1059,85,41.176,00:03:39,1048.750,13.820,25,No,No,No,No,No,No,No,No,0,Yes,47,16.020,31.500,24.504,0,0,5
127,5.043,5.043,10.363,98,48,1000,129,0,1005,85,40.784,00:03:39,1002.250,13.795,25,No,No,No,No,No,No,No,No,0,Yes,46,15.640,31,24.504,0,0,6
128,5.043,5.043,10.520,98,68,1004,197,0,1005,85,39.608,00:03:40,1003,13.820,24,No,No,No,No,No,No,No,No,0,Yes,45,15.450,31.500,24.367,0,0,7
129,5.043,5.043,13.918,98,88,1022,14,0,1028,85,47.059,00:03:41,1026.250,13.845,24,No,No,No,No,No,No,No,No,0,Yes,48,18.550,29.500,25.930,0,0,8
130,5.043,5.043,15.637,98,110,1130,125,0,1141,85,51.373,00:03:41,1143.750,13.845,24,No,No,No,No,No,No,No,No,0,Yes,53,22.020,28,27.355,0,0,8
131,5.043,5.065,16.301,98,134,1226,53,0,1231,85,50.980,00:03:42,1226.250,13.820,24,No,No,No,No,No,No,No,No,0,Yes,54,24.270,28.500,28.059,0,0,10
132,5.043,5.065,16.301,98,159,1253,6,0,1245,85,49.020,00:03:42,1257,13.795,24,No,No,No,No,No,No,No,No,0,Yes,54,24,29,28.059,0,0,11
133,5.043,5.043,16.125,98,184,1260,223,0,1264,85,50.588,00:03:43,1264.500,13.770,24,No,No,No,No,No,No,No,No,0,Yes,54,24.760,29,28.352,0,0,11
134,5.043,5.065,13.742,98,209,1252,189,0,1241,85,46.275,00:03:44,1247,13.770,24,No,No,No,No,No,No,No,No,0,Yes,51,22.650,30,27.492,0,0,11
135,5.043,5.065,9.328,98,233,1162,117,0,1151,85,38.431,00:03:44,1155.750,13.795,24,No,No,No,No,No,No,No,No,0,Yes,45,17.800,33,25.363,0,0,11
136,5.043,5.065,7.492,98,255,1068,252,0,1059,85,35.294,00:03:45,1056.500,13.795,24,No,No,No,No,No,No,No,No,0,Yes,42,14.680,35.500,23.664,0,0,11
137,5.043,5.043,10.188,98,20,1031,89,0,1037,85,41.569,00:03:45,1033,13.770,24,No,No,No,No,No,No,No,No,0,Yes,43,16.240,33,24.797,0,0,10
138,5.043,5.043,9.523,98,42,1069,194,0,1061,85,37.255,00:03:46,1065.500,13.770,24,No,No,No,No,No,No,No,No,0,Yes,43,15.310,34,24.074,0,0,10
139,5.043,5.065,9.875,98,63,1063,41,0,1064,85,37.255,00:03:47,1067.500,13.770,24,No,No,No,No,No,No,No,No,0,Yes,43,15.660,34,24.504,0,0,11
140,5.043,5.065,5.441,98,84,1026,144,0,1021,85,32.157,00:03:47,1023,13.770,24,No,No,No,No,No,No,No,No,0,Yes,39,12.230,38,22.512,0,0,11
141,5.043,5.065,0.500,98,104,977,214,0,969,85,27.451,00:03:48,969,13.845,24,No,No,No,No,No,No,No,No,0,Yes,35,10.700,41,21.105,0,0,11
142,5.043,5.065,0.500,98,124,959,17,0,963,85,25.882,00:03:48,960.250,13.820,24,No,No,No,No,No,No,No,No,0,Yes,33,9.730,27,20.520,0,0,11
143,5.043,5.043,0.500,98,142,876,49,0,862,85,19.608,00:03:49,855,13.795,24,No,No,No,No,No,No,No,No,0,Yes,30,7.210,28.500,18.391,0,0,10
144,5.043,5.065,0.500,98,158,740,252,0,724,85,22.353,00:03:50,725.250,13.795,24,No,No,No,No,No,No,No,No,0,Yes,30,7.100,22,18.254,0,0,8
